race_id,course_decoded,off_time,horse_decoded,predicted_prob,odds_decimal,field_size_unscaled
rac_11576916,Hexham,2:18,Blackwater Lilly,0.97814906,-0.4031954056362446,13
rac_11576916,Hexham,2:18,Young Getaway,0.6767974,-0.46905574003193884,13
rac_11576916,Hexham,2:18,That One,0.41184017,-0.4599550392790793,13
rac_11576864,Hexham,2:48,Scots Poet,0.88262457,-0.3433223743674317,9
rac_11576864,Hexham,2:48,Fostered Phil,0.80197734,-0.37924619312871943,9
rac_11576864,Hexham,2:48,Foxey,0.11208475,-0.020008005515841715,9
rac_11576903,Hexham,3:18,Jet Approach,0.019432303,-0.21160170557604313,6
rac_11576903,Hexham,3:18,Smart Decision,0.014722173,-0.4937234289146898,6
rac_11576877,Hexham,3:48,Torosay,0.96429086,-0.4031954056362446,14
rac_11576877,Hexham,3:48,Gibberwell,0.7380554,-0.33134776811366906,14
rac_11576877,Hexham,3:48,Cudgel,0.7069758,-0.11580485554594236,14
rac_11576890,Hexham,4:18,Forest Blaze,0.98198277,-0.39122079938248205,12
rac_11576890,Hexham,4:18,Halpha Soleil,0.8709306,-0.43313192127065103,12
rac_11576890,Hexham,4:18,Final Edgar,0.8676588,-0.33134776811366906,12
rac_11576942,Hexham,4:48,Lunar Contact,0.8861646,-0.4271446181437698,6
rac_11576942,Hexham,4:48,Deep Charm,0.04892565,-0.3433223743674317,6
rac_11576929,Hexham,5:20,Japetus,0.93796974,-0.47983288566032517,4
rac_11574927,Pontefract,2:05,Ardisia,0.01,-0.4791144092850994,5
rac_11574927,Pontefract,2:05,Harome Star,0.01,1.895928995086173,5
rac_11611860,Pontefract,2:35,Unknown Horse,0.01,-0.16370328056099276,2
rac_11574953,Pontefract,3:05,Ballsgrove Boy,0.8767943,-0.41517001189000724,14
rac_11574953,Pontefract,3:05,Perfidia,0.7929394,-0.23555091808356832,14
rac_11574953,Pontefract,3:05,Rumba Bay,0.2297035,-0.43911922439753237,14
rac_11574875,Pontefract,3:35,Calumet,0.9395655,-0.41924137801628647,9
rac_11574875,Pontefract,3:35,Lightening Company,0.6449301,-0.2595001305910935,9
rac_11574875,Pontefract,3:35,Marhaba The Champ,0.22207452,-0.31937316185990644,9
rac_11574888,Pontefract,4:05,Partisan Hero,0.90730035,-0.46905574003193884,10
rac_11574888,Pontefract,4:05,Jewel Maker,0.6699161,-0.16370328056099276,10
rac_11574888,Pontefract,4:05,Perseus Way,0.47157627,-0.0679064305308921,10
rac_11574940,Pontefract,4:35,Zephlyn,0.76671,-0.4539677361521981,6
rac_11574940,Pontefract,4:35,Tarbat Ness,0.17151159,-0.41517001189000724,6
rac_11574914,Pontefract,5:05,Miss Hathaway,0.052027497,-0.2834493430986187,6
rac_11574914,Pontefract,5:05,Unknown Horse,0.01,-0.3433223743674317,6
rac_11574901,Pontefract,5:35,Reigning Profit,0.8769395,-0.41517001189000724,11
rac_11574901,Pontefract,5:35,Emperor Caradoc,0.8639399,-0.35529698062119425,11
rac_11574901,Pontefract,5:35,Dandy Dinmont,0.7870428,-0.4031954056362446,11
rac_11576981,Warwick,5:10,Shesupincourt,0.9487458,-0.41924137801628647,4
rac_11576994,Warwick,5:40,Jeudidee,0.7728071,-0.3672715868749568,7
rac_11576994,Warwick,5:40,Orbys River,0.75508976,-0.451093830651295,7
rac_11577020,Warwick,6:10,Audacious Annie,0.041099485,-0.47504304315882023,5
rac_11577020,Warwick,6:10,I've Madeupmymind,0.01751146,-0.46905574003193884,5
rac_11576955,Warwick,6:40,Can't Beat History,0.63449025,-0.451093830651295,4
rac_11577007,Warwick,7:10,Moor End,0.8657538,-0.3672715868749568,11
rac_11577007,Warwick,7:10,Rock On Tommy,0.2784364,-0.41517001189000724,11
rac_11577007,Warwick,7:10,Granny Hawkins,0.19380957,-0.33134776811366906,11
rac_11576968,Warwick,7:40,Mammies Boy,0.9839193,-0.3672715868749568,9
rac_11576968,Warwick,7:40,Lumi Plugin,0.94093627,-0.41924137801628647,9
rac_11576968,Warwick,7:40,Baskerville,0.38083914,-0.39122079938248205,9
