trainer_id,total_rides,horse_age,runners,1st,2nd,3rd,4th,a/e,win_%,1_pl
trn_132759,0,2,317,11,13,13,24,0.66,0.03,-210.75
trn_132759,0,9,239,21,18,24,19,0.98,0.09,-71.13
trn_132759,0,10,111,5,6,6,12,0.66,0.05,-65.0
trn_132759,0,11,42,4,0,1,2,1.28,0.1,-13.5
trn_132759,0,12,19,0,2,5,0,0.0,0.0,-19.0
trn_132759,0,13,2,0,0,0,0,0.0,0.0,-2.0
trn_141066,0,6,2687,456,403,372,300,0.88,0.17,-405.7
trn_141066,0,5,2610,455,391,356,316,0.89,0.17,-547.34
trn_141066,0,7,2001,317,269,279,229,0.9,0.16,-407.78
trn_141066,0,4,1424,186,233,200,147,0.76,0.13,-481.02
trn_141066,0,8,1178,145,176,153,133,0.76,0.12,-265.18
trn_141066,0,9,599,84,83,54,57,0.97,0.14,-95.45
trn_141066,0,3,373,61,58,39,43,0.92,0.16,-69.24
trn_141066,0,10,288,24,35,28,46,0.69,0.08,-117.19
trn_141066,0,11,131,15,17,18,17,0.89,0.11,28.96
trn_141066,0,2,59,2,8,6,8,0.42,0.03,44.75
trn_141066,0,12,43,6,3,6,3,1.08,0.14,-6.33
trn_141066,0,13,9,0,0,2,0,0.0,0.0,-9.0
trn_141066,0,14,3,2,0,0,0,4.19,0.67,8.25
trn_339516,0,6,104,6,7,21,12,0.59,0.06,-79.97
trn_339516,0,7,80,7,5,5,6,0.9,0.09,-25.5
trn_339516,0,8,66,8,8,6,5,1.12,0.12,15.5
trn_339516,0,4,65,6,5,5,7,1.23,0.09,-20.46
trn_339516,0,5,53,2,2,4,6,0.37,0.04,-26.5
trn_339516,0,9,46,2,3,6,2,0.51,0.04,-37.5
trn_339516,0,3,29,0,4,3,1,0.0,0.0,-29.0
trn_339516,0,2,14,0,1,0,0,0.0,0.0,-14.0
trn_339516,0,10,10,1,0,2,3,1.03,0.1,3.0
trn_339516,0,11,4,0,0,0,0,0.0,0.0,-4.0
trn_339516,0,12,4,0,0,1,1,0.0,0.0,-4.0
trn_257247,0,5,213,18,18,28,31,0.84,0.08,-78.84
trn_257247,0,6,167,17,30,16,14,0.78,0.1,-79.44
trn_257247,0,7,113,18,17,20,10,1.01,0.16,-32.94
trn_257247,0,4,107,9,11,13,16,0.89,0.08,-1.12
trn_257247,0,8,59,5,5,10,9,0.65,0.08,-20.33
trn_257247,0,9,39,4,8,5,2,0.71,0.1,-13.88
trn_257247,0,3,35,4,2,7,3,0.99,0.11,-13.75
trn_257247,0,10,17,1,4,1,1,0.48,0.06,-13.0
trn_257247,0,2,8,0,0,0,0,0.0,0.0,-8.0
trn_257247,0,11,2,0,0,0,0,0.0,0.0,-2.0
trn_121059,0,5,2042,237,221,232,231,0.86,0.12,-518.49
trn_121059,0,6,2008,288,264,255,208,0.87,0.14,-408.31
trn_121059,0,7,1648,247,215,221,182,0.93,0.15,-192.41
trn_121059,0,8,1267,149,163,157,160,0.8,0.12,-341.96
trn_121059,0,4,1091,111,123,118,114,0.86,0.1,-171.84
trn_121059,0,9,850,89,98,99,107,0.79,0.1,-210.91
trn_121059,0,10,422,44,50,50,45,0.81,0.1,-88.13
trn_121059,0,3,259,39,33,32,33,0.87,0.15,68.0
trn_121059,0,11,174,15,18,17,19,0.79,0.09,-45.32
trn_121059,0,12,70,9,11,4,4,0.96,0.13,-30.37
trn_121059,0,13,15,4,0,2,1,1.54,0.27,2.75
trn_121059,0,2,9,0,1,1,0,0.0,0.0,-9.0
trn_121059,0,14,1,0,0,0,0,0.0,0.0,-1.0
trn_371358,0,5,29,0,2,3,2,0.0,0.0,-29.0
trn_371358,0,6,24,3,2,6,2,1.07,0.12,12.25
trn_371358,0,4,21,2,1,3,0,1.76,0.1,-11.0
trn_371358,0,10,20,3,0,5,4,1.37,0.15,25.0
trn_371358,0,9,18,1,1,2,2,0.65,0.06,-10.0
trn_371358,0,8,16,1,2,5,3,0.45,0.06,-6.0
trn_371358,0,2,7,0,1,2,1,0.0,0.0,-7.0
trn_371358,0,7,5,1,0,2,0,1.17,0.2,-0.5
trn_371358,0,3,3,0,1,0,1,0.0,0.0,-3.0
trn_95202,0,5,936,58,61,64,67,0.64,0.06,-427.3
trn_95202,0,6,843,65,65,62,57,0.76,0.08,-427.7
trn_95202,0,4,535,21,24,32,34,0.52,0.04,-305.17
trn_95202,0,7,532,53,50,41,33,0.85,0.1,-192.34
trn_95202,0,8,297,33,32,22,28,0.93,0.11,-56.45
trn_95202,0,9,160,15,23,13,22,0.7,0.09,-73.06
trn_95202,0,3,142,4,3,5,7,0.5,0.03,-74.5
trn_95202,0,2,83,1,2,0,4,0.36,0.01,-54.0
trn_95202,0,10,68,3,3,4,3,0.53,0.04,-36.5
trn_95202,0,11,31,1,2,1,4,0.41,0.03,-16.0
trn_95202,0,12,27,1,3,3,1,0.38,0.04,-23.0
trn_95202,0,13,8,0,0,1,0,0.0,0.0,-8.0
trn_378207,0,5,11,1,2,3,0,0.46,0.09,-9.6
trn_378207,0,7,11,1,2,0,2,0.68,0.09,-6.5
trn_378207,0,8,9,1,0,2,3,0.62,0.11,-4.0
trn_378207,0,6,7,0,1,0,2,0.0,0.0,-7.0
trn_378207,0,10,6,0,2,1,0,0.0,0.0,-6.0
trn_378207,0,9,5,0,0,0,3,0.0,0.0,-5.0
trn_378207,0,11,2,1,0,1,0,3.21,0.5,3.0
trn_281817,0,5,188,9,17,17,20,0.69,0.05,-125.17
trn_281817,0,6,166,16,21,18,13,0.84,0.1,-71.75
trn_281817,0,7,147,15,16,20,14,0.81,0.1,-42.75
trn_281817,0,8,109,10,11,14,18,0.75,0.09,-9.75
trn_281817,0,4,65,0,4,3,4,0.0,0.0,-65.0
trn_281817,0,9,54,1,4,6,4,0.17,0.02,-49.0
trn_281817,0,10,31,2,4,1,6,0.73,0.06,-14.5
trn_281817,0,11,25,3,2,6,3,0.88,0.12,-8.25
trn_281817,0,12,9,2,0,0,3,2.36,0.22,17.0
trn_281817,0,3,7,0,1,0,0,0.0,0.0,-7.0
trn_281817,0,13,5,0,0,0,1,0.0,0.0,-5.0
trn_170127,0,7,96,4,12,7,6,0.65,0.04,-32.62
trn_170127,0,9,66,6,7,9,10,0.8,0.09,-31.37
trn_170127,0,8,63,2,5,7,6,0.36,0.03,-53.62
trn_170127,0,10,58,3,5,5,6,0.69,0.05,-37.0
trn_170127,0,6,56,1,4,2,5,0.37,0.02,-41.0
trn_170127,0,11,33,3,2,5,6,0.96,0.09,-8.5
