sire_id,sire
sir_15566474,Mohaather
sir_6068706,Frosted
sir_6028827,Adaay
sir_5602422,Feel Like Dancing
sir_4688159,Coastal Path
sir_5771157,Ivanhowe
sir_4848690,It's Gino
sir_6290277,The Gurkha
sir_4548635,Spanish Moon
sir_5312636,Tin Horse
sir_4200735,Bonbon Rose
sir_3622080,Sinndar
sir_3276504,Muhtathir
sir_4497822,Kentucky Dynamite
sir_3090514,Well Chosen
sir_3647567,Al Namix
sir_5730277,Morandi
sir_3795330,Desir D'Un Soir
sir_4749731,Dansant
sir_3543505,Maresca Sorrento
sir_6245778,Nutan
sir_5411385,Born To Sea
sir_5785444,Australia
sir_6057142,Golden Horn
sir_5827822,Coach House
sir_21685482,Ubettabelieveit
sir_21670488,Nando Parrado
sir_21678475,Lucky Vega
sir_21649551,Supremacy
sir_16762004,Lope Y Fernandez
sir_4817246,Tamayuz
sir_5528656,Heeraat
sir_6138986,Tasleet
sir_6017487,Charming Thought
sir_5957903,Portamento
sir_6010662,Cappella Sansevero
sir_9992339,Unfortunately
sir_6232947,Galileo Gold
sir_3960579,Oasis Dream
sir_5860085,Cable Bay
sir_5308828,Albaasil
sir_2921590,Intrinsic
sir_6017543,Belardo
sir_21995442,Alkumait
sir_14220528,Raging Bull
sir_5808516,Kuroshio
sir_5880140,Kingman
sir_4038104,Pastoral Pursuits
sir_5818785,Anjaal
sir_6752270,The Last Lion
sir_5344171,Frankel
sir_14576338,Phoenix Of Spain
sir_6125028,Massaat
sir_4585931,Hellvelyn
sir_12573540,Rumble Inthejungle
sir_13368159,The Irish Rover
sir_6158376,Pride Of Dubai
sir_5507334,Dragon Pulse
sir_4163390,Kitten's Joy
sir_14985173,Too Darn Hot
sir_5925682,Bobby's Kitten
sir_7341264,Koropick
sir_9942359,U S Navy Flag
sir_3691611,Kyllachy
sir_6201195,Washington DC
sir_5535299,Dabirsim
sir_4759678,Fast Company
sir_3647602,Tiger Groom
sir_4870369,Mastercraftsman
sir_6925198,Caravaggio
sir_4247215,Manduro
sir_4131533,Motivator
sir_5021548,Le Havre
sir_530859,Beneficial
sir_3188248,Stowaway
sir_634410,Winged Love
sir_5740294,Bathyrhon
sir_8009960,Manbolix
