race_id,course_decoded,off_time,horse_decoded,predicted_prob,odds_decimal,field_size_unscaled
rac_11574212,Catterick,2:13,Jamie's Choice,0.4234355,-0.4112067324695487,9
rac_11574212,Catterick,2:13,Dunnington Lad,0.19328813,-0.3170990450845735,9
rac_11574212,Catterick,2:13,Ninety Nine,0.18898351,-0.2818086623152078,9
rac_11574160,Catterick,2:43,Coiled,0.7045141,0.0946220872246928,14
rac_11574160,Catterick,2:43,Natsumi,0.4470923,-0.4152063091834101,14
rac_11574160,Catterick,2:43,Fallen Soldier,0.39548048,-0.258281740468964,14
rac_11574173,Catterick,3:13,Stellarmasterpiece,0.73029137,-0.4112067324695487,8
rac_11574173,Catterick,3:13,Flying Scotsman,0.29254732,-0.4347336543157925,8
rac_11574173,Catterick,3:13,Arctic Fox,0.27517802,-0.3288625060076954,8
rac_11574225,Catterick,3:43,Tawasol,0.71828634,-0.4789642673867308,10
rac_11574225,Catterick,3:43,Monsieur Fudge,0.6051339,-0.3288625060076954,10
rac_11574225,Catterick,3:43,Stay In The Game,0.4775301,-0.3994432715464268,10
rac_11574186,Catterick,4:13,Lion Ring,0.625956,0.0946220872246928,14
rac_11574186,Catterick,4:13,Doomsday,0.53482366,-0.375916349700183,14
rac_11574186,Catterick,4:13,Darbucks,0.5193213,-0.3406259669308173,14
rac_11574147,Catterick,4:45,Marry The Night,0.4885687,-0.3641528887770611,7
rac_11574147,Catterick,4:45,Lucius Aurelius,0.44783157,-0.375916349700183,7
rac_11574199,Catterick,5:20,Sacred Falls,0.5371397,-0.3641528887770611,11
rac_11574199,Catterick,5:20,Act Of Violence,0.5305023,-0.4112067324695487,11
rac_11574199,Catterick,5:20,Daytona Lady,0.3854755,-0.1641740530839888,11
rac_11578320,Kempton (AW),5:10,Brightling,0.050361678,-0.375916349700183,3
rac_11578294,Kempton (AW),5:40,Dopamine,0.051505562,0.0240413216859614,11
rac_11578294,Kempton (AW),5:40,Nuptown Girl,0.01,0.2828374619946432,11
rac_11578294,Kempton (AW),5:40,Polygram,0.01,0.2828374619946432,11
rac_11578359,Kempton (AW),6:10,Honved,0.27391574,-0.2935721232383297,11
rac_11578359,Kempton (AW),6:10,Cardinal Point,0.04098542,0.2828374619946432,11
rac_11578359,Kempton (AW),6:10,Ashen,0.038643602,0.4475259149183497,11
rac_11578281,Kempton (AW),6:40,Brunel Nation,0.6613362,-0.3170990450845735,8
rac_11578281,Kempton (AW),6:40,United Approach,0.6294415,-0.4112067324695487,8
rac_11578281,Kempton (AW),6:40,Blue Prince,0.46901223,-0.3994432715464268,8
rac_11578307,Kempton (AW),7:10,One For Harvey,0.6403625,-0.3053355841614516,10
rac_11578307,Kempton (AW),7:10,Unico,0.6144798,-0.2112278967764764,10
rac_11578307,Kempton (AW),7:10,Papabella,0.6087296,-0.3406259669308173,10
rac_11578346,Kempton (AW),7:40,Take The Boat,0.6703364,-0.3876798106233049,14
rac_11578346,Kempton (AW),7:40,Rumba Bay,0.47425815,-0.4112067324695487,14
rac_11578346,Kempton (AW),7:40,Me Tarzan,0.25590065,-0.2818086623152078,14
rac_11578333,Kempton (AW),8:10,Captain Brett,0.3512635,-0.3053355841614516,7
rac_11578333,Kempton (AW),8:10,Staffordshire,0.08622451,-0.3876798106233049,7
rac_11574290,Nottingham,2:05,Dan Tucker,0.6157788,-0.4610838067835855,8
rac_11574290,Nottingham,2:05,Storm Free,0.29275537,-0.476376305983644,8
rac_11574290,Nottingham,2:05,Yorkshire Myth,0.083210915,0.4475259149183497,8
rac_11574316,Nottingham,2:35,Counsel,0.6938825,-0.3406259669308173,7
rac_11574316,Nottingham,2:35,Dark Kestrel,0.52989924,-0.3288625060076954,7
