damsire_id,damsire_name,total_runners,class,runners,1st,2nd,3rd,4th,a/e,win_%,1_pl
dsi_296359,Old Vic,9880,,4164,407,380,352,355,0.86,0.1,-995.69
dsi_296359,Old Vic,9880,Class 4,2220,333,301,295,221,0.94,0.15,-424.07
dsi_296359,Old Vic,9880,Class 5,1297,165,161,128,131,0.92,0.13,-365.53
dsi_296359,Old Vic,9880,Class 3,937,161,141,126,106,1.03,0.17,-0.93
dsi_296359,Old Vic,9880,Class 1,444,51,36,43,38,0.96,0.11,-10.64
dsi_296359,Old Vic,9880,Class 2,437,44,57,51,51,0.77,0.1,-36.12
dsi_296359,Old Vic,9880,Class 6,335,46,43,33,42,1.03,0.14,3.77
dsi_296359,Old Vic,9880,Class 7,46,5,5,7,2,0.99,0.11,-13.0
dsi_301889,Mansonnien,3645,,2057,266,255,203,184,0.9,0.13,-28.73
dsi_301889,Mansonnien,3645,Class 4,589,89,79,92,66,0.88,0.15,-126.58
dsi_301889,Mansonnien,3645,Class 3,318,47,49,47,37,0.89,0.15,-44.68
dsi_301889,Mansonnien,3645,Class 5,283,33,35,23,24,0.83,0.12,-87.3
dsi_301889,Mansonnien,3645,Class 1,183,22,21,19,20,0.89,0.12,-25.11
dsi_301889,Mansonnien,3645,Class 2,151,25,12,13,12,1.21,0.17,36.61
dsi_301889,Mansonnien,3645,Class 6,64,8,11,11,4,0.71,0.12,-33.75
dsi_3276504,Muhtathir,3096,,2511,248,220,235,227,0.88,0.1,-397.49
dsi_3276504,Muhtathir,3096,Class 4,178,27,21,20,14,1.01,0.15,-23.64
dsi_3276504,Muhtathir,3096,Class 5,155,17,21,15,20,0.83,0.11,-75.76
dsi_3276504,Muhtathir,3096,Class 1,83,7,10,12,11,0.85,0.08,-14.6
dsi_3276504,Muhtathir,3096,Class 3,58,11,12,5,11,0.97,0.19,5.11
dsi_3276504,Muhtathir,3096,Class 2,57,5,3,8,5,0.72,0.09,-8.8
dsi_3276504,Muhtathir,3096,Class 6,54,5,12,5,5,0.68,0.09,-10.65
dsi_3816407,Saint Des Saints,2488,,1482,235,195,188,140,0.9,0.16,-314.86
dsi_3816407,Saint Des Saints,2488,Class 4,372,61,61,61,38,0.83,0.16,-53.88
dsi_3816407,Saint Des Saints,2488,Class 5,205,21,29,25,20,0.65,0.1,-97.49
dsi_3816407,Saint Des Saints,2488,Class 3,180,41,33,20,19,1.08,0.23,-7.74
dsi_3816407,Saint Des Saints,2488,Class 1,150,37,16,11,11,1.03,0.25,-3.48
dsi_3816407,Saint Des Saints,2488,Class 2,84,13,9,9,9,0.9,0.15,1.74
dsi_3816407,Saint Des Saints,2488,Class 6,15,1,0,2,4,0.27,0.07,-13.78
dsi_3135986,Among Men,382,,168,4,6,8,11,0.34,0.02,-113.5
dsi_3135986,Among Men,382,Class 5,66,4,7,9,5,0.57,0.06,-49.05
dsi_3135986,Among Men,382,Class 4,56,7,7,4,6,1.05,0.12,-15.28
dsi_3135986,Among Men,382,Class 6,51,2,3,5,6,0.36,0.04,-25.5
dsi_3135986,Among Men,382,Class 3,22,3,3,5,4,0.92,0.14,-10.58
dsi_3135986,Among Men,382,Class 2,8,0,0,2,0,0.0,0.0,-8.0
dsi_3135986,Among Men,382,Class 7,7,2,0,2,0,1.52,0.29,0.33
dsi_3135986,Among Men,382,Class 1,4,0,0,1,0,0.0,0.0,-4.0
dsi_3659551,Golan,1406,,577,46,50,50,36,0.82,0.08,-196.72
dsi_3659551,Golan,1406,Class 4,282,35,29,33,31,0.97,0.12,-57.48
dsi_3659551,Golan,1406,Class 5,220,16,23,18,20,0.62,0.07,-148.71
dsi_3659551,Golan,1406,Class 6,167,18,14,16,16,0.88,0.11,-21.36
dsi_3659551,Golan,1406,Class 3,70,8,9,5,3,0.75,0.11,-31.27
dsi_3659551,Golan,1406,Class 2,49,4,9,4,4,0.71,0.08,-28.35
dsi_3659551,Golan,1406,Class 1,37,3,3,9,2,0.9,0.08,-4.5
dsi_3659551,Golan,1406,Class 7,4,3,0,0,1,5.51,0.75,20.0
dsi_3384073,Robin Des Pres,424,,190,12,20,12,15,0.68,0.06,-92.58
dsi_3384073,Robin Des Pres,424,Class 5,107,5,11,8,11,0.44,0.05,-71.0
dsi_3384073,Robin Des Pres,424,Class 4,101,7,7,12,13,0.79,0.07,-43.75
dsi_3384073,Robin Des Pres,424,Class 3,19,1,3,3,2,0.57,0.05,62.0
dsi_3384073,Robin Des Pres,424,Class 1,4,2,0,0,0,3.8,0.5,8.5
dsi_3384073,Robin Des Pres,424,Class 2,3,1,0,1,0,1.73,0.33,3.5
dsi_3852772,Black Sam Bellamy,714,,378,33,27,41,41,0.82,0.09,-119.8
dsi_3852772,Black Sam Bellamy,714,Class 4,115,15,13,19,10,0.85,0.13,-60.58
dsi_3852772,Black Sam Bellamy,714,Class 5,94,14,13,13,6,0.99,0.15,-8.56
dsi_3852772,Black Sam Bellamy,714,Class 3,49,3,3,7,9,0.44,0.06,-38.25
dsi_3852772,Black Sam Bellamy,714,Class 2,43,3,5,6,3,0.57,0.07,-32.65
dsi_3852772,Black Sam Bellamy,714,Class 1,23,3,2,2,2,0.88,0.13,7.8
dsi_3852772,Black Sam Bellamy,714,Class 6,12,0,0,1,0,0.0,0.0,-12.0
dsi_3843581,Bollin Eric,154,,62,9,3,9,4,0.95,0.15,-36.69
dsi_3843581,Bollin Eric,154,Class 4,46,9,6,7,3,1.04,0.2,-0.86
dsi_3843581,Bollin Eric,154,Class 5,20,5,1,2,1,2.36,0.25,74.33
dsi_3843581,Bollin Eric,154,Class 3,15,3,2,2,2,0.78,0.2,-5.65
dsi_3843581,Bollin Eric,154,Class 2,6,1,1,1,0,1.23,0.17,-2.0
dsi_3843581,Bollin Eric,154,Class 1,3,0,0,0,0,0.0,0.0,-3.0
dsi_3843581,Bollin Eric,154,Class 6,2,0,1,1,0,0.0,0.0,-2.0
dsi_3208429,Sagamix,753,,545,38,48,49,41,0.66,0.07,-243.58
dsi_3208429,Sagamix,753,Class 4,92,12,20,8,11,0.71,0.13,-43.55
dsi_3208429,Sagamix,753,Class 5,56,10,7,14,2,1.1,0.18,15.23
dsi_3208429,Sagamix,753,Class 3,30,2,5,6,3,0.32,0.07,1.62
dsi_3208429,Sagamix,753,Class 2,13,2,2,1,1,1.46,0.15,11.75
dsi_3208429,Sagamix,753,Class 1,12,1,3,1,0,0.57,0.08,-9.8
dsi_3208429,Sagamix,753,Class 6,5,0,1,0,2,0.0,0.0,-5.0
dsi_3401643,Ultimately Lucky,546,,391,54,49,42,42,0.99,0.14,32.05
dsi_3401643,Ultimately Lucky,546,Class 4,60,13,7,5,2,1.22,0.22,-5.21
dsi_3401643,Ultimately Lucky,546,Class 3,36,4,7,7,8,0.55,0.11,-20.75
dsi_3401643,Ultimately Lucky,546,Class 1,23,2,5,2,1,0.45,0.09,33.0
dsi_3401643,Ultimately Lucky,546,Class 2,18,3,3,1,2,0.99,0.17,-1.75
dsi_3401643,Ultimately Lucky,546,Class 5,16,0,1,2,0,0.0,0.0,-16.0
dsi_3401643,Ultimately Lucky,546,Class 6,2,1,1,0,0,1.54,0.5,1.75
dsi_3993948,Kapgarde,1149,,567,62,53,55,34,0.89,0.11,-216.18
dsi_3993948,Kapgarde,1149,Class 4,251,32,38,39,31,0.76,0.13,-105.45
dsi_3993948,Kapgarde,1149,Class 5,162,22,21,14,22,0.94,0.14,-51.45
dsi_3993948,Kapgarde,1149,Class 3,78,15,8,11,9,1.21,0.19,1.78
dsi_3993948,Kapgarde,1149,Class 2,47,3,3,10,4,0.52,0.06,-11.75
dsi_3993948,Kapgarde,1149,Class 1,43,4,13,4,5,0.61,0.09,-19.5
dsi_3993948,Kapgarde,1149,Class 6,1,1,0,0,0,1.83,1.0,0.83
dsi_2131927,Supreme Leader,22338,,10536,922,886,870,899,0.83,0.09,-3650.15
dsi_2131927,Supreme Leader,22338,Class 4,4852,645,643,560,513,0.88,0.13,-1144.6
dsi_2131927,Supreme Leader,22338,Class 5,2594,318,303,268,275,0.93,0.12,-356.08
dsi_2131927,Supreme Leader,22338,Class 3,1935,279,245,248,237,0.89,0.14,-295.15
dsi_2131927,Supreme Leader,22338,Class 1,863,79,103,90,75,0.79,0.09,-133.85
dsi_2131927,Supreme Leader,22338,Class 6,827,114,100,88,77,0.93,0.14,-98.5
dsi_2131927,Supreme Leader,22338,Class 2,729,84,93,85,82,0.88,0.12,-15.97
dsi_2131927,Supreme Leader,22338,Class 7,2,0,0,0,0,0.0,0.0,-2.0
dsi_677803,Definite Article,5557,,2067,209,176,174,179,0.94,0.1,-485.81
dsi_677803,Definite Article,5557,Class 4,1238,173,167,150,146,0.89,0.14,-241.07
dsi_677803,Definite Article,5557,Class 5,907,113,110,77,101,0.92,0.12,-64.34
dsi_677803,Definite Article,5557,Class 3,469,76,76,66,57,0.98,0.16,-35.61
dsi_677803,Definite Article,5557,Class 6,358,38,32,37,37,0.92,0.11,-76.81
dsi_677803,Definite Article,5557,Class 2,286,38,28,26,29,1.1,0.13,8.12
dsi_677803,Definite Article,5557,Class 1,225,22,21,28,31,0.84,0.1,-80.14
dsi_677803,Definite Article,5557,Class 7,7,0,0,1,1,0.0,0.0,-7.0
dsi_2878428,Evasive,119,,95,4,10,7,11,0.48,0.04,-49.1
dsi_2878428,Evasive,119,Class 4,7,0,2,0,2,0.0,0.0,-7.0
dsi_2878428,Evasive,119,Class 6,6,0,1,1,1,0.0,0.0,-6.0
dsi_2878428,Evasive,119,Class 5,5,2,0,1,0,4.42,0.4,10.5
dsi_2878428,Evasive,119,Class 3,2,0,0,0,1,0.0,0.0,-2.0
dsi_2878428,Evasive,119,Class 2,2,0,0,1,0,0.0,0.0,-2.0
dsi_2878428,Evasive,119,Class 1,2,0,0,0,0,0.0,0.0,-2.0
dsi_3602235,Mull Of Kintyre,1191,,491,40,31,25,40,0.98,0.08,-103.95
dsi_3602235,Mull Of Kintyre,1191,Class 4,222,34,24,23,26,1.07,0.15,-54.12
dsi_3602235,Mull Of Kintyre,1191,Class 5,203,32,15,21,19,1.31,0.16,96.03
dsi_3602235,Mull Of Kintyre,1191,Class 6,108,12,8,5,14,0.97,0.11,-46.5
dsi_3602235,Mull Of Kintyre,1191,Class 3,90,11,8,14,8,0.85,0.12,-25.11
dsi_3602235,Mull Of Kintyre,1191,Class 2,66,5,10,2,4,0.83,0.08,-18.5
dsi_3602235,Mull Of Kintyre,1191,Class 1,11,1,0,2,0,1.06,0.09,-1.5
dsi_4793005,Thewayyouare,309,,151,8,12,9,12,0.53,0.05,-68.11
dsi_4793005,Thewayyouare,309,Class 5,77,7,6,11,9,0.57,0.09,-40.65
dsi_4793005,Thewayyouare,309,Class 4,47,5,1,7,3,0.81,0.11,-25.5
dsi_4793005,Thewayyouare,309,Class 2,14,3,2,0,0,1.82,0.21,19.5
dsi_4793005,Thewayyouare,309,Class 3,10,1,4,3,0,0.64,0.1,-2.5
dsi_4793005,Thewayyouare,309,Class 6,8,2,0,1,1,1.51,0.25,-2.52
dsi_4793005,Thewayyouare,309,Class 1,2,1,0,0,0,2.5,0.5,3.0
dsi_3851113,Until Sundown,437,,328,30,37,48,33,0.89,0.09,-23.7
dsi_3851113,Until Sundown,437,Class 4,51,7,5,4,7,1.19,0.14,187.38
dsi_3851113,Until Sundown,437,Class 5,35,1,3,7,3,0.21,0.03,-30.0
dsi_3851113,Until Sundown,437,Class 3,10,0,2,1,0,0.0,0.0,-10.0
dsi_3851113,Until Sundown,437,Class 6,9,1,1,0,3,0.67,0.11,-5.25
dsi_3851113,Until Sundown,437,Class 2,2,0,0,0,0,0.0,0.0,-2.0
dsi_3851113,Until Sundown,437,Class 1,2,1,0,0,0,5.2,0.5,5.5
dsi_3297462,Kayf Tara,2549,Class 4,857,108,98,104,109,0.94,0.13,-129.32
dsi_3297462,Kayf Tara,2549,Class 5,645,69,63,65,67,0.85,0.11,-199.99
dsi_3297462,Kayf Tara,2549,,517,47,46,35,39,0.85,0.09,-186.42
dsi_3297462,Kayf Tara,2549,Class 3,223,26,50,33,26,0.7,0.12,-89.97
dsi_3297462,Kayf Tara,2549,Class 6,120,20,18,15,5,1.02,0.17,0.34
dsi_3297462,Kayf Tara,2549,Class 2,101,16,16,6,14,1.27,0.16,8.1
dsi_3297462,Kayf Tara,2549,Class 1,86,7,10,5,11,0.79,0.08,-29.5
dsi_3927665,Westerner,1876,,962,100,90,94,84,0.88,0.1,-227.84
dsi_3927665,Westerner,1876,Class 4,398,60,55,57,46,0.86,0.15,-111.25
dsi_3927665,Westerner,1876,Class 5,255,40,25,31,24,1.17,0.16,68.55
dsi_3927665,Westerner,1876,Class 3,98,20,14,10,13,0.94,0.2,-27.87
dsi_3927665,Westerner,1876,Class 1,84,5,12,11,9,0.46,0.06,-32.43
dsi_3927665,Westerner,1876,Class 2,54,8,6,10,5,0.97,0.15,-19.15
dsi_3927665,Westerner,1876,Class 6,23,7,4,1,2,1.53,0.3,10.08
dsi_3927665,Westerner,1876,Class 7,2,0,0,0,1,0.0,0.0,-2.0
dsi_3723636,Anzillero,232,,100,8,8,3,8,0.94,0.08,9.4
dsi_3723636,Anzillero,232,Class 5,53,10,5,6,8,0.87,0.19,-9.1
dsi_3723636,Anzillero,232,Class 4,49,6,11,7,10,0.58,0.12,-30.88
dsi_3723636,Anzillero,232,Class 1,16,5,0,0,3,1.59,0.31,-3.33
dsi_3723636,Anzillero,232,Class 3,9,1,2,1,1,0.73,0.11,-4.0
dsi_3723636,Anzillero,232,Class 2,4,3,0,0,0,2.21,0.75,5.52
dsi_3723636,Anzillero,232,Class 6,1,0,0,0,0,0.0,0.0,-1.0
dsi_4486727,Linda's Lad,219,,133,15,12,15,13,0.75,0.11,-48.94
dsi_4486727,Linda's Lad,219,Class 4,41,6,8,2,4,0.81,0.15,-13.98
dsi_4486727,Linda's Lad,219,Class 3,19,3,4,3,2,1.43,0.16,1.2
dsi_4486727,Linda's Lad,219,Class 5,15,1,1,0,4,0.58,0.07,-10.5
dsi_4486727,Linda's Lad,219,Class 1,6,0,1,0,0,0.0,0.0,-6.0
dsi_4486727,Linda's Lad,219,Class 2,5,1,1,0,1,1.27,0.2,-1.75
dsi_4577188,Irish Wells,306,,206,26,22,23,20,0.95,0.13,-16.04
dsi_4577188,Irish Wells,306,Class 1,31,8,5,1,5,1.06,0.26,-3.9
dsi_4577188,Irish Wells,306,Class 5,28,4,0,4,4,1.14,0.14,8.83
dsi_4577188,Irish Wells,306,Class 4,27,2,6,2,1,0.45,0.07,3.2
dsi_4577188,Irish Wells,306,Class 2,8,1,2,2,0,0.58,0.12,-6.43
dsi_4577188,Irish Wells,306,Class 3,6,0,0,2,1,0.0,0.0,-6.0
dsi_530859,Beneficial,6618,,3313,266,255,268,301,0.81,0.08,-1236.84
dsi_530859,Beneficial,6618,Class 4,1322,191,192,135,149,0.92,0.14,-421.34
dsi_530859,Beneficial,6618,Class 5,1022,126,123,116,93,0.91,0.12,-88.71
dsi_530859,Beneficial,6618,Class 3,525,89,87,84,56,0.93,0.17,-68.71
dsi_530859,Beneficial,6618,Class 1,194,24,20,27,12,0.86,0.12,-67.37
dsi_530859,Beneficial,6618,Class 2,169,28,20,18,10,1.06,0.17,-25.82
dsi_530859,Beneficial,6618,Class 6,73,14,5,11,5,1.2,0.19,105.64
dsi_699377,Heron Island,1437,,786,81,74,63,77,0.92,0.1,-225.52
dsi_699377,Heron Island,1437,Class 4,256,47,40,21,30,0.97,0.18,-29.68
dsi_699377,Heron Island,1437,Class 3,128,17,34,19,17,0.77,0.13,-28.44
dsi_699377,Heron Island,1437,Class 5,116,16,13,7,12,1.01,0.14,-26.52
dsi_699377,Heron Island,1437,Class 1,72,5,3,8,6,0.69,0.07,-47.05
dsi_699377,Heron Island,1437,Class 2,62,9,9,7,5,1.03,0.15,-21.03
dsi_699377,Heron Island,1437,Class 6,17,4,3,2,4,1.01,0.24,-6.47
dsi_540960,Alderbrook,2555,,841,80,71,66,69,0.87,0.1,-333.6
dsi_540960,Alderbrook,2555,Class 4,727,87,101,88,87,0.81,0.12,-255.82
dsi_540960,Alderbrook,2555,Class 5,485,66,34,56,57,1.01,0.14,-67.36
dsi_540960,Alderbrook,2555,Class 3,259,35,31,32,40,0.88,0.14,-44.28
dsi_540960,Alderbrook,2555,Class 2,94,11,9,7,11,1.07,0.12,-10.49
dsi_540960,Alderbrook,2555,Class 6,77,7,8,8,10,0.67,0.09,-29.44
dsi_540960,Alderbrook,2555,Class 1,72,1,8,10,8,0.17,0.01,-65.0
dsi_468524,Alflora,4411,Class 4,1484,159,166,170,147,0.86,0.11,-573.6
dsi_468524,Alflora,4411,,1040,74,104,90,88,0.68,0.07,-453.7
dsi_468524,Alflora,4411,Class 5,1019,105,103,90,101,0.94,0.1,31.57
dsi_468524,Alflora,4411,Class 3,443,47,69,62,46,0.75,0.11,-174.64
dsi_468524,Alflora,4411,Class 6,214,19,21,15,25,0.79,0.09,-91.54
dsi_468524,Alflora,4411,Class 2,141,13,11,15,17,0.74,0.09,-57.38
dsi_468524,Alflora,4411,Class 1,70,1,3,7,3,0.19,0.01,-59.0
dsi_614005,Midnight Legend,1435,Class 4,504,64,70,54,52,0.85,0.13,-179.11
dsi_614005,Midnight Legend,1435,Class 5,408,42,52,36,40,0.8,0.1,-112.91
dsi_614005,Midnight Legend,1435,,229,30,25,23,25,1.06,0.13,195.79
dsi_614005,Midnight Legend,1435,Class 3,127,23,24,13,9,1.04,0.18,3.86
dsi_614005,Midnight Legend,1435,Class 1,69,7,5,8,5,0.77,0.1,-35.75
dsi_614005,Midnight Legend,1435,Class 2,63,11,7,9,8,1.01,0.17,7.07
dsi_614005,Midnight Legend,1435,Class 6,35,3,6,4,2,0.68,0.09,18.5
dsi_676165,Presenting,17791,,7610,712,674,662,677,0.83,0.09,-2695.08
dsi_676165,Presenting,17791,Class 4,4440,645,653,525,467,0.9,0.15,-1365.43
dsi_676165,Presenting,17791,Class 5,2719,318,305,280,308,0.84,0.12,-878.9
dsi_676165,Presenting,17791,Class 3,1535,213,234,218,187,0.79,0.14,-404.76
dsi_676165,Presenting,17791,Class 1,625,72,72,81,60,0.9,0.12,-100.06
dsi_676165,Presenting,17791,Class 2,575,74,68,54,61,0.94,0.13,-103.83
dsi_676165,Presenting,17791,Class 6,287,46,42,27,29,1.01,0.16,-30.39
dsi_366520,Turgeon,5125,,2637,319,298,291,260,0.87,0.12,-567.77
dsi_366520,Turgeon,5125,Class 4,894,140,130,113,107,0.9,0.16,-251.27
dsi_366520,Turgeon,5125,Class 3,500,73,79,74,68,0.84,0.15,-161.0
dsi_366520,Turgeon,5125,Class 5,489,59,72,60,56,0.84,0.12,-165.78
dsi_366520,Turgeon,5125,Class 1,285,50,38,30,21,1.03,0.18,-65.29
dsi_366520,Turgeon,5125,Class 2,253,39,39,22,35,1.02,0.15,-16.59
dsi_366520,Turgeon,5125,Class 6,62,12,12,4,8,1.17,0.19,3.71
dsi_366520,Turgeon,5125,Class 7,5,0,1,0,2,0.0,0.0,-5.0
dsi_3321185,Jimble,469,,261,36,24,28,24,0.94,0.14,-49.25
dsi_3321185,Jimble,469,Class 4,100,12,13,16,12,0.85,0.12,-16.79
dsi_3321185,Jimble,469,Class 5,62,7,4,4,7,1.01,0.11,13.37
dsi_3321185,Jimble,469,Class 3,31,4,1,4,4,1.29,0.13,-3.0
dsi_3321185,Jimble,469,Class 2,8,1,1,1,1,0.96,0.12,-1.5
dsi_3321185,Jimble,469,Class 1,5,0,0,0,0,0.0,0.0,-5.0
dsi_3321185,Jimble,469,Class 6,2,1,0,0,0,1.89,0.5,0.1
dsi_3503136,Laveron,549,,329,46,31,23,39,1.07,0.14,18.26
dsi_3503136,Laveron,549,Class 4,98,12,15,14,11,0.84,0.12,-44.65
dsi_3503136,Laveron,549,Class 5,60,8,3,12,5,1.03,0.13,-8.42
dsi_3503136,Laveron,549,Class 3,26,3,2,4,6,0.62,0.12,-17.82
dsi_3503136,Laveron,549,Class 1,21,3,4,2,4,0.68,0.14,-7.05
dsi_3503136,Laveron,549,Class 2,15,2,1,1,2,0.92,0.13,-0.2
dsi_4009047,Gold Well,452,,277,17,23,16,22,0.83,0.06,-114.1
dsi_4009047,Gold Well,452,Class 4,86,8,11,16,8,0.82,0.09,-9.25
dsi_4009047,Gold Well,452,Class 5,57,6,3,9,5,0.86,0.11,-29.13
dsi_4009047,Gold Well,452,Class 3,14,3,1,1,1,1.99,0.21,0.75
dsi_4009047,Gold Well,452,Class 2,13,3,1,1,1,2.69,0.23,15.5
dsi_4009047,Gold Well,452,Class 1,3,0,0,0,0,0.0,0.0,-3.0
dsi_4009047,Gold Well,452,Class 6,2,0,0,0,0,0.0,0.0,-2.0
dsi_3958990,Big Bad Bob,1236,,594,45,37,49,36,0.81,0.08,-160.85
dsi_3958990,Big Bad Bob,1236,Class 6,199,21,15,24,21,0.9,0.11,-60.44
dsi_3958990,Big Bad Bob,1236,Class 5,190,15,24,17,21,0.64,0.08,-129.98
dsi_3958990,Big Bad Bob,1236,Class 4,106,9,16,18,12,0.68,0.08,-64.62
dsi_3958990,Big Bad Bob,1236,Class 2,60,4,4,7,10,0.66,0.07,-29.0
dsi_3958990,Big Bad Bob,1236,Class 3,52,7,9,8,7,0.87,0.13,21.75
dsi_3958990,Big Bad Bob,1236,Class 1,34,3,6,7,5,0.66,0.09,-25.22
dsi_3958990,Big Bad Bob,1236,Class 7,1,0,0,0,0,0.0,0.0,-1.0
dsi_633759,Poliglote,4243,,2818,300,304,316,282,0.8,0.11,-636.5
dsi_633759,Poliglote,4243,Class 4,513,92,88,65,50,0.91,0.18,-132.84
dsi_633759,Poliglote,4243,Class 5,289,35,43,42,35,0.74,0.12,-118.1
dsi_633759,Poliglote,4243,Class 3,220,37,33,33,33,0.93,0.17,-29.97
dsi_633759,Poliglote,4243,Class 2,197,26,23,15,20,0.92,0.13,-32.03
dsi_633759,Poliglote,4243,Class 1,166,17,19,17,23,0.79,0.1,-74.73
dsi_633759,Poliglote,4243,Class 6,40,8,7,4,4,1.34,0.2,3.22
dsi_438830,Exit To Nowhere,5992,,3210,276,279,303,270,0.85,0.09,-565.33
dsi_438830,Exit To Nowhere,5992,Class 4,992,120,104,104,116,0.89,0.12,-300.86
dsi_438830,Exit To Nowhere,5992,Class 5,762,78,68,67,79,0.8,0.1,-221.55
dsi_438830,Exit To Nowhere,5992,Class 3,364,55,53,40,39,0.95,0.15,60.71
dsi_438830,Exit To Nowhere,5992,Class 6,308,34,34,28,33,0.92,0.11,-71.32
dsi_438830,Exit To Nowhere,5992,Class 2,192,19,31,18,17,0.8,0.1,-79.9
dsi_438830,Exit To Nowhere,5992,Class 1,148,26,20,10,13,1.05,0.18,-19.34
dsi_438830,Exit To Nowhere,5992,Class 7,16,1,0,3,4,0.53,0.06,1.0
dsi_676046,Flemensfirth,7643,,3487,307,320,311,280,0.82,0.09,-1345.99
dsi_676046,Flemensfirth,7643,Class 4,1860,204,238,240,228,0.77,0.11,-618.15
dsi_676046,Flemensfirth,7643,Class 5,1269,158,144,156,131,0.91,0.12,-202.55
dsi_676046,Flemensfirth,7643,Class 3,461,56,78,57,55,0.77,0.12,-189.31
dsi_676046,Flemensfirth,7643,Class 1,259,30,31,26,26,0.87,0.12,-12.06
dsi_676046,Flemensfirth,7643,Class 2,220,30,24,18,26,1.07,0.14,24.24
dsi_676046,Flemensfirth,7643,Class 6,87,10,11,10,10,0.89,0.11,-52.48
dsi_2133152,Acatenango,4795,,2524,260,273,227,229,0.84,0.1,-760.31
dsi_2133152,Acatenango,4795,Class 4,651,71,68,69,68,0.81,0.11,-185.55
dsi_2133152,Acatenango,4795,Class 5,591,76,64,63,60,1.01,0.13,-71.73
dsi_2133152,Acatenango,4795,Class 6,346,34,28,37,35,0.78,0.1,-155.88
dsi_2133152,Acatenango,4795,Class 3,264,36,33,35,27,1.09,0.14,17.51
dsi_2133152,Acatenango,4795,Class 1,216,19,27,24,22,0.8,0.09,-87.2
dsi_2133152,Acatenango,4795,Class 2,199,15,20,27,22,0.65,0.08,-106.38
dsi_2133152,Acatenango,4795,Class 7,4,1,0,0,0,1.37,0.25,-2.09
dsi_510566,Bob's Return,2703,,915,91,84,73,84,0.9,0.1,-173.1
dsi_510566,Bob's Return,2703,Class 4,655,88,65,91,87,0.92,0.13,-197.59
dsi_510566,Bob's Return,2703,Class 5,478,58,49,48,42,0.95,0.12,-117.71
dsi_510566,Bob's Return,2703,Class 3,275,42,36,32,31,0.96,0.15,-28.6
dsi_510566,Bob's Return,2703,Class 6,182,18,17,14,25,0.79,0.1,-38.49
dsi_510566,Bob's Return,2703,Class 2,100,8,9,17,10,0.63,0.08,-47.5
dsi_510566,Bob's Return,2703,Class 1,90,7,10,6,14,0.69,0.08,-36.92
dsi_510566,Bob's Return,2703,Class 7,8,1,1,1,1,1.37,0.12,3.0
dsi_152544,Lord Americo,3594,,1803,111,130,104,138,0.72,0.06,-825.54
dsi_152544,Lord Americo,3594,Class 4,783,108,79,91,90,0.98,0.14,-156.41
dsi_152544,Lord Americo,3594,Class 5,439,50,52,45,39,0.88,0.11,-107.9
dsi_152544,Lord Americo,3594,Class 3,239,29,27,37,32,0.8,0.12,-87.7
dsi_152544,Lord Americo,3594,Class 6,139,12,15,17,14,0.72,0.09,-94.95
dsi_152544,Lord Americo,3594,Class 1,101,9,5,12,13,0.83,0.09,-35.92
dsi_152544,Lord Americo,3594,Class 2,90,11,10,7,8,0.87,0.12,-34.13
dsi_3942673,Nickname,428,,266,38,31,29,28,1.04,0.14,56.53
dsi_3942673,Nickname,428,Class 4,65,9,3,14,15,0.79,0.14,15.04
dsi_3942673,Nickname,428,Class 5,34,5,6,6,2,0.87,0.15,-10.4
dsi_3942673,Nickname,428,Class 1,25,4,6,4,2,0.66,0.16,-12.55
dsi_3942673,Nickname,428,Class 3,24,5,6,4,1,1.04,0.21,-4.21
dsi_3942673,Nickname,428,Class 2,12,2,2,1,0,0.76,0.17,-8.71
dsi_3942673,Nickname,428,Class 6,2,0,0,0,1,0.0,0.0,-2.0
dsi_3845786,Great Pretender,301,,196,18,14,14,24,0.85,0.09,-64.25
dsi_3845786,Great Pretender,301,Class 4,45,14,14,5,4,1.26,0.31,20.62
dsi_3845786,Great Pretender,301,Class 3,24,2,6,4,4,0.37,0.08,-8.5
dsi_3845786,Great Pretender,301,Class 2,16,1,2,3,1,0.36,0.06,-12.5
dsi_3845786,Great Pretender,301,Class 5,14,3,2,3,2,1.1,0.21,-2.5
dsi_3845786,Great Pretender,301,Class 1,6,0,0,1,0,0.0,0.0,-6.0
dsi_350203,Karinga Bay,2799,Class 4,929,100,141,127,87,0.75,0.11,-446.26
dsi_350203,Karinga Bay,2799,Class 5,607,80,51,58,60,1.09,0.13,-44.83
dsi_350203,Karinga Bay,2799,,604,61,41,61,50,0.96,0.1,113.89
dsi_350203,Karinga Bay,2799,Class 3,288,55,42,38,31,1.09,0.19,60.49
dsi_350203,Karinga Bay,2799,Class 6,143,13,16,13,28,0.69,0.09,-46.48
dsi_350203,Karinga Bay,2799,Class 1,117,9,15,14,11,0.68,0.08,-52.12
dsi_350203,Karinga Bay,2799,Class 2,111,12,15,14,12,0.76,0.11,-59.56
dsi_546966,Protektor,464,,272,24,29,25,23,0.77,0.09,-155.31
dsi_546966,Protektor,464,Class 4,81,11,12,12,10,0.87,0.14,10.22
dsi_546966,Protektor,464,Class 5,40,8,6,2,4,1.02,0.2,-0.51
dsi_546966,Protektor,464,Class 1,33,5,5,6,6,0.89,0.15,8.0
dsi_546966,Protektor,464,Class 6,13,4,1,1,2,1.57,0.31,-3.02
dsi_546966,Protektor,464,Class 3,13,4,1,0,1,1.33,0.31,-3.25
