sire_id,sire_name,total_runners,class,runners,1st,2nd,3rd,4th,a/e,win_%,1_pl
sir_3932551,Khalkevi (IRE),936,,555,71,61,59,52,1.1,0.13,100.6
sir_3932551,Khalkevi (IRE),936,Class 4,138,27,21,12,18,1.0,0.2,3.37
sir_3932551,Khalkevi (IRE),936,Class 3,96,17,10,10,9,1.08,0.18,-0.42
sir_3932551,Khalkevi (IRE),936,Class 1,48,3,8,4,6,0.47,0.06,-28.0
sir_3932551,Khalkevi (IRE),936,Class 5,43,5,5,6,4,0.83,0.12,-15.81
sir_3932551,Khalkevi (IRE),936,Class 2,43,6,7,2,6,0.68,0.14,-16.19
sir_3932551,Khalkevi (IRE),936,Class 6,13,4,1,2,1,1.95,0.31,24.25
sir_3297462,Kayf Tara (GB),13739,Class 4,4783,651,654,582,524,0.87,0.14,-1327.31
sir_3297462,Kayf Tara (GB),13739,Class 5,2473,299,244,245,279,0.94,0.12,-145.67
sir_3297462,Kayf Tara (GB),13739,,2232,244,264,237,215,0.77,0.11,-715.45
sir_3297462,Kayf Tara (GB),13739,Class 3,1607,216,240,230,188,0.82,0.13,-404.65
sir_3297462,Kayf Tara (GB),13739,Class 6,1014,134,129,120,96,1.0,0.13,-27.91
sir_3297462,Kayf Tara (GB),13739,Class 1,946,103,98,103,99,0.87,0.11,-225.27
sir_3297462,Kayf Tara (GB),13739,Class 2,670,91,77,69,74,0.97,0.14,-38.37
sir_3297462,Kayf Tara (GB),13739,Class 7,14,0,2,2,0,0.0,0.0,-14.0
sir_6307308,Chanducoq (FR),62,,57,0,4,9,7,0.0,0.0,-57.0
sir_6307308,Chanducoq (FR),62,Class 4,3,2,1,0,0,1.16,0.67,0.09
sir_6307308,Chanducoq (FR),62,Class 1,1,0,0,0,0,0.0,0.0,-1.0
sir_6307308,Chanducoq (FR),62,Class 3,1,0,1,0,0,0.0,0.0,-1.0
sir_4944793,Kamsin (GER),721,,463,45,45,37,46,0.95,0.1,41.9
sir_4944793,Kamsin (GER),721,Class 4,93,12,13,15,12,0.7,0.13,-36.33
sir_4944793,Kamsin (GER),721,Class 5,88,10,10,12,11,0.89,0.11,-19.45
sir_4944793,Kamsin (GER),721,Class 3,30,6,4,4,8,1.0,0.2,-11.3
sir_4944793,Kamsin (GER),721,Class 2,17,2,2,1,3,0.82,0.12,-4.25
sir_4944793,Kamsin (GER),721,Class 1,17,1,3,1,2,0.44,0.06,-12.8
sir_4944793,Kamsin (GER),721,Class 6,13,3,0,2,1,1.98,0.23,24.25
sir_7340921,Wings Of Eagles (FR),459,,324,23,23,35,25,0.79,0.07,-79.22
sir_7340921,Wings Of Eagles (FR),459,Class 4,60,7,7,4,5,0.74,0.12,-37.57
sir_7340921,Wings Of Eagles (FR),459,Class 5,48,8,4,3,3,1.64,0.17,1.92
sir_7340921,Wings Of Eagles (FR),459,Class 3,12,1,3,2,3,0.47,0.08,-10.09
sir_7340921,Wings Of Eagles (FR),459,Class 2,11,2,1,1,2,1.59,0.18,14.38
sir_7340921,Wings Of Eagles (FR),459,Class 1,3,0,0,0,0,0.0,0.0,-3.0
sir_7340921,Wings Of Eagles (FR),459,Class 6,1,0,0,0,0,0.0,0.0,-1.0
sir_4532486,Champs Elysees (GB),6973,,1701,196,176,151,143,0.95,0.12,-283.13
sir_4532486,Champs Elysees (GB),6973,Class 5,1675,173,192,186,177,0.81,0.1,-504.21
sir_4532486,Champs Elysees (GB),6973,Class 4,1525,182,191,187,194,0.88,0.12,-210.71
sir_4532486,Champs Elysees (GB),6973,Class 6,923,104,109,93,86,0.9,0.11,-182.73
sir_4532486,Champs Elysees (GB),6973,Class 3,527,61,56,70,76,0.88,0.12,-84.3
sir_4532486,Champs Elysees (GB),6973,Class 2,391,42,38,43,40,0.98,0.11,-57.53
sir_4532486,Champs Elysees (GB),6973,Class 1,225,29,29,21,36,1.03,0.13,119.6
sir_4532486,Champs Elysees (GB),6973,Class 7,6,1,0,0,0,1.42,0.17,1.0
sir_5917226,Kingston Hill (GB),984,,370,20,25,27,27,0.69,0.05,-206.4
sir_5917226,Kingston Hill (GB),984,Class 5,238,29,35,29,22,0.8,0.12,-60.4
sir_5917226,Kingston Hill (GB),984,Class 4,231,20,39,26,28,0.62,0.09,-80.82
sir_5917226,Kingston Hill (GB),984,Class 3,54,8,10,7,2,1.03,0.15,-23.37
sir_5917226,Kingston Hill (GB),984,Class 6,36,4,5,2,1,1.15,0.11,0.38
sir_5917226,Kingston Hill (GB),984,Class 2,36,4,4,2,5,1.05,0.11,2.33
sir_5917226,Kingston Hill (GB),984,Class 1,19,1,0,2,1,0.86,0.05,-2.0
sir_4128446,Notnowcato (GB),2256,,581,49,42,36,45,0.88,0.08,-151.07
sir_4128446,Notnowcato (GB),2256,Class 5,523,52,36,48,60,0.97,0.1,-82.42
sir_4128446,Notnowcato (GB),2256,Class 6,411,30,34,34,41,0.75,0.07,-149.81
sir_4128446,Notnowcato (GB),2256,Class 4,407,45,48,38,48,0.89,0.11,-155.12
sir_4128446,Notnowcato (GB),2256,Class 3,148,21,21,13,14,0.93,0.14,-35.55
sir_4128446,Notnowcato (GB),2256,Class 1,107,11,10,17,16,0.78,0.1,-40.88
sir_4128446,Notnowcato (GB),2256,Class 2,73,7,7,8,8,0.83,0.1,-16.5
sir_4128446,Notnowcato (GB),2256,Class 7,6,0,0,1,0,0.0,0.0,-6.0
sir_5958330,Jack Hobbs (GB),532,Class 5,205,18,23,12,18,0.78,0.09,-81.75
sir_5958330,Jack Hobbs (GB),532,Class 4,199,17,13,22,12,0.87,0.09,-107.68
sir_5958330,Jack Hobbs (GB),532,,51,6,5,5,5,0.75,0.12,-19.7
sir_5958330,Jack Hobbs (GB),532,Class 3,26,3,3,4,2,1.08,0.12,-6.38
sir_5958330,Jack Hobbs (GB),532,Class 2,24,4,3,3,3,1.17,0.17,-14.34
sir_5958330,Jack Hobbs (GB),532,Class 1,19,0,1,2,0,0.0,0.0,-19.0
sir_5958330,Jack Hobbs (GB),532,Class 6,8,0,0,2,1,0.0,0.0,-8.0
sir_5839988,Cokoriko (FR),1675,,1048,132,133,96,118,0.86,0.13,-284.28
sir_5839988,Cokoriko (FR),1675,Class 4,260,37,33,35,29,0.84,0.14,92.76
sir_5839988,Cokoriko (FR),1675,Class 5,148,17,14,15,14,0.91,0.11,-13.3
sir_5839988,Cokoriko (FR),1675,Class 3,89,19,15,8,8,1.2,0.21,4.12
sir_5839988,Cokoriko (FR),1675,Class 2,69,8,8,7,8,0.84,0.12,-19.62
sir_5839988,Cokoriko (FR),1675,Class 1,61,4,7,4,6,0.7,0.07,-24.0
sir_4223408,Doctor Dino (FR),2372,,1651,229,187,187,175,0.89,0.14,-15.28
sir_4223408,Doctor Dino (FR),2372,Class 4,239,52,33,28,30,1.05,0.22,-33.64
sir_4223408,Doctor Dino (FR),2372,Class 1,148,25,27,15,15,0.93,0.17,-32.84
sir_4223408,Doctor Dino (FR),2372,Class 5,145,25,23,15,16,0.96,0.17,-13.7
sir_4223408,Doctor Dino (FR),2372,Class 3,119,19,23,16,10,0.82,0.16,-49.63
sir_4223408,Doctor Dino (FR),2372,Class 2,65,20,9,6,6,1.82,0.31,62.85
sir_4223408,Doctor Dino (FR),2372,Class 6,5,2,0,1,2,1.31,0.4,0.83
sir_5728562,Telescope (IRE),1253,Class 5,522,35,42,46,56,0.7,0.07,-177.18
sir_5728562,Telescope (IRE),1253,Class 4,471,29,34,46,56,0.69,0.06,-332.6
sir_5728562,Telescope (IRE),1253,,102,16,16,9,10,0.97,0.16,-9.86
sir_5728562,Telescope (IRE),1253,Class 6,74,8,6,10,4,0.87,0.11,-31.05
sir_5728562,Telescope (IRE),1253,Class 3,42,5,2,1,2,1.87,0.12,16.5
sir_5728562,Telescope (IRE),1253,Class 2,27,1,4,1,2,0.38,0.04,-23.5
sir_5728562,Telescope (IRE),1253,Class 1,15,3,1,1,1,1.78,0.2,-3.25
sir_3734157,Milan (GB),15902,,6346,564,515,546,525,0.82,0.09,-2312.77
sir_3734157,Milan (GB),15902,Class 4,4045,562,533,514,458,0.89,0.14,-1127.39
sir_3734157,Milan (GB),15902,Class 5,2241,265,275,241,212,0.84,0.12,-533.65
sir_3734157,Milan (GB),15902,Class 3,1533,203,220,203,175,0.82,0.13,-300.43
sir_3734157,Milan (GB),15902,Class 2,666,86,80,71,72,0.91,0.13,-152.64
sir_3734157,Milan (GB),15902,Class 1,620,64,74,51,58,0.85,0.1,-139.39
sir_3734157,Milan (GB),15902,Class 6,451,71,62,57,53,0.98,0.16,-4.73
sir_7784448,National Defense (GB),463,,200,12,25,17,17,0.56,0.06,-121.62
sir_7784448,National Defense (GB),463,Class 6,95,8,4,8,10,0.97,0.08,-6.75
sir_7784448,National Defense (GB),463,Class 5,94,7,9,11,12,0.79,0.07,-47.1
sir_7784448,National Defense (GB),463,Class 4,50,6,1,3,7,1.3,0.12,-1.0
sir_7784448,National Defense (GB),463,Class 3,15,1,3,0,3,0.57,0.07,-10.67
sir_7784448,National Defense (GB),463,Class 2,7,2,0,1,0,3.1,0.29,5.0
sir_7784448,National Defense (GB),463,Class 1,2,0,1,0,0,0.0,0.0,-2.0
sir_3700067,Samum (GER),1285,,875,95,92,83,70,0.92,0.11,-96.44
sir_3700067,Samum (GER),1285,Class 5,130,14,17,12,14,0.89,0.11,3.44
sir_3700067,Samum (GER),1285,Class 4,109,19,9,14,15,1.04,0.17,-6.3
sir_3700067,Samum (GER),1285,Class 3,59,9,3,10,6,0.98,0.15,-4.84
sir_3700067,Samum (GER),1285,Class 6,49,7,3,5,5,1.23,0.14,-11.62
sir_3700067,Samum (GER),1285,Class 2,35,1,7,2,4,0.33,0.03,-28.5
sir_3700067,Samum (GER),1285,Class 1,28,2,3,1,2,0.58,0.07,-21.75
sir_3983700,Doyen (IRE),6534,,2709,247,238,235,228,0.87,0.09,-740.22
sir_3983700,Doyen (IRE),6534,Class 4,1250,176,158,145,141,0.92,0.14,-260.22
sir_3983700,Doyen (IRE),6534,Class 5,1082,131,120,125,110,0.94,0.12,-184.87
sir_3983700,Doyen (IRE),6534,Class 6,481,55,42,52,47,1.0,0.11,-11.06
sir_3983700,Doyen (IRE),6534,Class 3,479,73,75,64,49,0.92,0.15,-103.03
sir_3983700,Doyen (IRE),6534,Class 2,287,32,42,20,38,0.81,0.11,-85.53
sir_3983700,Doyen (IRE),6534,Class 1,238,17,27,21,24,0.67,0.07,-153.54
sir_3983700,Doyen (IRE),6534,Class 7,8,1,0,3,1,0.87,0.12,-5.25
sir_4804191,Falco (USA),1528,,1086,88,73,96,106,0.85,0.08,-302.75
sir_4804191,Falco (USA),1528,Class 4,139,20,18,18,14,0.88,0.14,-9.61
sir_4804191,Falco (USA),1528,Class 5,110,14,11,10,12,1.13,0.13,2.03
sir_4804191,Falco (USA),1528,Class 6,55,6,4,12,4,0.88,0.11,-13.25
sir_4804191,Falco (USA),1528,Class 3,54,12,6,8,5,1.18,0.22,-7.11
sir_4804191,Falco (USA),1528,Class 1,54,6,13,8,2,0.59,0.11,-37.65
sir_4804191,Falco (USA),1528,Class 2,29,2,5,3,2,0.47,0.07,-22.88
sir_4804191,Falco (USA),1528,Class 7,1,0,0,1,0,0.0,0.0,-1.0
sir_5603829,Ocovango (GB),2198,,1199,82,91,87,108,0.78,0.07,-539.2
sir_5603829,Ocovango (GB),2198,Class 4,418,41,59,54,44,0.69,0.1,-248.66
sir_5603829,Ocovango (GB),2198,Class 5,346,40,50,41,37,0.79,0.12,-169.26
sir_5603829,Ocovango (GB),2198,Class 3,116,16,23,20,16,0.71,0.14,-49.24
sir_5603829,Ocovango (GB),2198,Class 2,71,10,10,5,8,0.96,0.14,-10.09
sir_5603829,Ocovango (GB),2198,Class 1,48,7,5,7,1,1.27,0.15,2.5
sir_4009460,Shirocco (GER),8507,,3437,310,277,314,311,0.87,0.09,-828.14
sir_4009460,Shirocco (GER),8507,Class 4,1843,253,198,222,203,1.0,0.14,-326.95
sir_4009460,Shirocco (GER),8507,Class 5,1636,179,156,153,137,0.89,0.11,-394.18
sir_4009460,Shirocco (GER),8507,Class 3,511,82,74,60,56,1.0,0.16,-35.83
sir_4009460,Shirocco (GER),8507,Class 6,401,47,41,46,34,0.82,0.12,-157.08
sir_4009460,Shirocco (GER),8507,Class 1,349,42,39,37,39,0.91,0.12,-14.82
sir_4009460,Shirocco (GER),8507,Class 2,325,36,37,35,38,0.91,0.11,-92.19
sir_4009460,Shirocco (GER),8507,Class 7,5,0,0,1,0,0.0,0.0,-5.0
sir_4905173,Montmartre (FR),2202,,1416,152,145,132,114,0.89,0.11,-239.31
sir_4905173,Montmartre (FR),2202,Class 4,268,40,30,36,25,0.93,0.15,-9.41
sir_4905173,Montmartre (FR),2202,Class 5,231,26,34,28,31,0.78,0.11,-56.21
sir_4905173,Montmartre (FR),2202,Class 3,131,23,24,16,11,0.89,0.18,-7.59
sir_4905173,Montmartre (FR),2202,Class 1,86,8,10,5,10,0.72,0.09,-8.05
sir_4905173,Montmartre (FR),2202,Class 2,57,6,6,7,5,0.75,0.11,-27.75
sir_4905173,Montmartre (FR),2202,Class 6,13,2,0,3,0,0.66,0.15,-6.75
sir_4086887,Yeats (IRE),8823,,3677,374,329,340,310,0.89,0.1,-866.3
sir_4086887,Yeats (IRE),8823,Class 4,2191,303,284,315,233,0.85,0.14,-518.85
sir_4086887,Yeats (IRE),8823,Class 5,1344,184,174,156,153,0.93,0.14,17.91
sir_4086887,Yeats (IRE),8823,Class 3,717,103,106,107,78,0.82,0.14,-115.63
sir_4086887,Yeats (IRE),8823,Class 2,416,58,47,47,33,1.06,0.14,44.46
sir_4086887,Yeats (IRE),8823,Class 1,325,27,31,35,29,0.77,0.08,-75.13
sir_4086887,Yeats (IRE),8823,Class 6,150,18,19,26,19,0.77,0.12,-62.98
sir_4086887,Yeats (IRE),8823,Class 7,3,0,0,0,1,0.0,0.0,-3.0
sir_5147233,Zanzibari (USA),1219,,1086,96,98,93,98,0.92,0.09,-256.82
sir_5147233,Zanzibari (USA),1219,Class 4,68,8,10,8,11,0.71,0.12,-24.69
sir_5147233,Zanzibari (USA),1219,Class 5,27,2,6,0,2,0.77,0.07,-10.25
sir_5147233,Zanzibari (USA),1219,Class 2,13,1,2,1,1,0.79,0.08,-10.0
sir_5147233,Zanzibari (USA),1219,Class 6,9,0,0,0,0,0.0,0.0,-9.0
sir_5147233,Zanzibari (USA),1219,Class 3,9,0,1,4,1,0.0,0.0,-9.0
sir_5147233,Zanzibari (USA),1219,Class 1,7,0,0,1,0,0.0,0.0,-7.0
sir_3885084,Secret Singer (FR),571,,289,24,21,23,27,0.88,0.08,-135.85
sir_3885084,Secret Singer (FR),571,Class 5,106,12,9,13,8,0.87,0.11,-29.59
sir_3885084,Secret Singer (FR),571,Class 4,92,16,11,12,8,1.02,0.17,-18.1
sir_3885084,Secret Singer (FR),571,Class 3,46,3,7,4,11,0.41,0.07,-33.44
sir_3885084,Secret Singer (FR),571,Class 2,18,2,2,3,3,0.56,0.11,-13.13
sir_3885084,Secret Singer (FR),571,Class 1,12,0,2,3,2,0.0,0.0,-12.0
sir_3885084,Secret Singer (FR),571,Class 6,8,1,1,0,2,0.59,0.12,-6.0
sir_5237701,Nathaniel (IRE),6156,Class 5,1551,186,222,179,178,0.82,0.12,-434.8
sir_5237701,Nathaniel (IRE),6156,,1449,144,148,150,160,0.79,0.1,-493.27
sir_5237701,Nathaniel (IRE),6156,Class 4,1255,180,178,163,144,0.85,0.14,-307.07
sir_5237701,Nathaniel (IRE),6156,Class 6,741,81,86,74,75,0.83,0.11,-173.53
sir_5237701,Nathaniel (IRE),6156,Class 3,478,66,61,78,56,0.84,0.14,-161.03
sir_5237701,Nathaniel (IRE),6156,Class 2,379,34,40,44,51,0.68,0.09,-140.22
sir_5237701,Nathaniel (IRE),6156,Class 1,300,48,37,27,33,1.11,0.16,-8.35
sir_5237701,Nathaniel (IRE),6156,Class 7,3,0,0,0,1,0.0,0.0,-3.0
sir_3892441,Sulamani (IRE),4323,Class 4,1257,140,154,155,146,0.82,0.11,-401.38
sir_3892441,Sulamani (IRE),4323,Class 5,1186,123,137,131,138,0.93,0.1,-309.2
sir_3892441,Sulamani (IRE),4323,,757,95,76,68,62,0.94,0.13,-58.86
sir_3892441,Sulamani (IRE),4323,Class 6,507,53,50,60,59,0.9,0.1,-64.08
sir_3892441,Sulamani (IRE),4323,Class 3,322,51,47,49,36,1.04,0.16,36.27
sir_3892441,Sulamani (IRE),4323,Class 2,170,21,26,19,13,1.0,0.12,-41.28
sir_3892441,Sulamani (IRE),4323,Class 1,114,11,9,13,6,0.97,0.1,-16.44
sir_3892441,Sulamani (IRE),4323,Class 7,10,2,2,0,1,2.24,0.2,5.0
sir_4624284,Soldier Of Fortune (IRE),4527,,2473,218,233,231,209,0.82,0.09,-687.41
sir_4624284,Soldier Of Fortune (IRE),4527,Class 4,819,125,113,96,102,0.91,0.15,-233.33
sir_4624284,Soldier Of Fortune (IRE),4527,Class 5,646,74,96,79,80,0.73,0.11,-224.02
sir_4624284,Soldier Of Fortune (IRE),4527,Class 3,257,37,51,26,27,0.87,0.14,-64.32
sir_4624284,Soldier Of Fortune (IRE),4527,Class 2,170,21,16,18,20,0.97,0.12,-41.25
sir_4624284,Soldier Of Fortune (IRE),4527,Class 1,136,10,8,14,15,0.7,0.07,-60.68
sir_4624284,Soldier Of Fortune (IRE),4527,Class 6,26,4,3,3,1,0.99,0.15,-14.49
sir_4989285,Sans Frontieres (IRE),1059,,460,22,27,37,31,0.64,0.05,-277.68
sir_4989285,Sans Frontieres (IRE),1059,Class 4,267,29,33,18,37,0.85,0.11,-100.75
sir_4989285,Sans Frontieres (IRE),1059,Class 5,230,24,27,11,28,1.04,0.1,-82.77
sir_4989285,Sans Frontieres (IRE),1059,Class 3,57,9,7,6,10,1.16,0.16,-1.25
sir_4989285,Sans Frontieres (IRE),1059,Class 1,22,0,2,1,2,0.0,0.0,-22.0
sir_4989285,Sans Frontieres (IRE),1059,Class 2,22,5,0,4,2,2.33,0.23,15.25
sir_4989285,Sans Frontieres (IRE),1059,Class 6,1,1,0,0,0,13.0,1.0,12.0
sir_4645585,Authorized (IRE),6957,,2311,275,287,266,247,0.81,0.12,-478.26
sir_4645585,Authorized (IRE),6957,Class 4,1330,221,184,158,144,0.97,0.17,-47.18
sir_4645585,Authorized (IRE),6957,Class 5,1197,172,138,110,124,1.05,0.14,-216.71
sir_4645585,Authorized (IRE),6957,Class 3,602,90,70,84,75,0.93,0.15,-79.15
sir_4645585,Authorized (IRE),6957,Class 6,566,59,52,58,53,0.84,0.1,-124.81
sir_4645585,Authorized (IRE),6957,Class 2,532,67,60,69,56,1.02,0.13,-32.59
sir_4645585,Authorized (IRE),6957,Class 1,412,47,32,41,54,0.94,0.11,-52.62
sir_4645585,Authorized (IRE),6957,Class 7,7,1,0,2,0,1.56,0.14,-0.5
sir_5498255,Universal (IRE),798,Class 5,325,34,34,16,31,1.0,0.1,-109.6
sir_5498255,Universal (IRE),798,Class 4,248,24,17,29,31,0.97,0.1,-15.23
sir_5498255,Universal (IRE),798,,75,10,1,11,5,1.16,0.13,-20.74
sir_5498255,Universal (IRE),798,Class 3,67,12,12,9,9,1.27,0.18,-17.42
sir_5498255,Universal (IRE),798,Class 6,47,8,7,5,3,0.96,0.17,-9.03
sir_5498255,Universal (IRE),798,Class 2,24,4,1,6,2,1.24,0.17,-3.5
sir_5498255,Universal (IRE),798,Class 1,12,1,1,2,2,0.89,0.08,-4.0
sir_6096356,Walzertakt (GER),206,,80,9,7,7,9,0.92,0.11,-28.86
sir_6096356,Walzertakt (GER),206,Class 4,58,8,8,10,3,1.13,0.14,-0.35
sir_6096356,Walzertakt (GER),206,Class 5,49,3,9,11,5,0.46,0.06,-22.0
sir_6096356,Walzertakt (GER),206,Class 3,14,0,3,1,5,0.0,0.0,-14.0
sir_6096356,Walzertakt (GER),206,Class 2,4,0,2,1,0,0.0,0.0,-4.0
sir_6096356,Walzertakt (GER),206,Class 1,1,0,0,0,0,0.0,0.0,-1.0
sir_5333650,Jet Away (GB),1548,,602,51,38,52,48,0.77,0.08,-297.14
sir_5333650,Jet Away (GB),1548,Class 4,434,70,58,53,54,0.93,0.16,-144.23
sir_5333650,Jet Away (GB),1548,Class 5,274,35,43,30,29,0.84,0.13,-82.71
sir_5333650,Jet Away (GB),1548,Class 3,157,29,19,31,14,0.83,0.18,-46.11
sir_5333650,Jet Away (GB),1548,Class 2,56,8,2,3,3,1.02,0.14,48.41
sir_5333650,Jet Away (GB),1548,Class 1,25,1,0,4,2,0.36,0.04,-8.0
sir_7976311,Pillar Coral (GB),110,,51,1,7,3,4,0.24,0.02,-41.0
sir_7976311,Pillar Coral (GB),110,Class 4,30,3,3,3,3,0.83,0.1,-21.0
sir_7976311,Pillar Coral (GB),110,Class 5,22,1,4,1,6,0.28,0.05,-15.0
sir_7976311,Pillar Coral (GB),110,Class 2,3,0,0,0,0,0.0,0.0,-3.0
sir_7976311,Pillar Coral (GB),110,Class 3,3,0,0,0,0,0.0,0.0,-3.0
sir_7976311,Pillar Coral (GB),110,Class 1,1,0,0,0,0,0.0,0.0,-1.0
sir_3816407,Saint Des Saints (FR),4843,,3005,458,393,363,290,0.9,0.15,-452.55
sir_3816407,Saint Des Saints (FR),4843,Class 4,574,101,109,84,50,0.85,0.18,-58.83
sir_3816407,Saint Des Saints (FR),4843,Class 3,369,63,59,59,43,0.87,0.17,-65.79
sir_3816407,Saint Des Saints (FR),4843,Class 1,344,38,53,45,40,0.76,0.11,-78.39
sir_3816407,Saint Des Saints (FR),4843,Class 2,262,48,42,28,31,1.0,0.18,-26.55
sir_3816407,Saint Des Saints (FR),4843,Class 5,256,30,28,32,35,0.71,0.12,-31.06
sir_3816407,Saint Des Saints (FR),4843,Class 6,33,6,2,3,7,0.83,0.18,3.45
sir_4123686,Court Cave (IRE),7118,,3248,247,234,260,247,0.84,0.08,-948.18
sir_4123686,Court Cave (IRE),7118,Class 4,1580,185,178,187,194,0.86,0.12,-535.24
sir_4123686,Court Cave (IRE),7118,Class 5,1212,132,127,140,136,0.86,0.11,-103.71
sir_4123686,Court Cave (IRE),7118,Class 3,531,88,68,56,65,1.08,0.17,-33.82
sir_4123686,Court Cave (IRE),7118,Class 2,220,21,23,23,30,0.77,0.1,-29.95
sir_4123686,Court Cave (IRE),7118,Class 1,177,22,21,12,19,1.2,0.12,34.01
sir_4123686,Court Cave (IRE),7118,Class 6,150,18,15,21,9,0.85,0.12,-59.43
sir_3927665,Westerner (GB),10901,,4614,459,438,425,387,0.87,0.1,-1308.31
sir_3927665,Westerner (GB),10901,Class 4,2493,398,349,309,264,0.94,0.16,-581.38
sir_3927665,Westerner (GB),10901,Class 5,1336,157,169,136,139,0.87,0.12,-447.32
sir_3927665,Westerner (GB),10901,Class 3,1175,165,178,151,131,0.82,0.14,-277.59
sir_3927665,Westerner (GB),10901,Class 1,465,38,49,46,36,0.76,0.08,-129.66
sir_3927665,Westerner (GB),10901,Class 2,453,53,63,47,40,0.88,0.12,-43.89
sir_3927665,Westerner (GB),10901,Class 6,360,60,41,49,37,1.01,0.17,-44.13
sir_3927665,Westerner (GB),10901,Class 7,5,2,0,1,0,3.45,0.4,21.0
sir_6179754,Choeur Du Nord (FR),472,,368,40,51,47,53,0.85,0.11,128.47
sir_6179754,Choeur Du Nord (FR),472,Class 4,44,11,3,11,5,1.08,0.25,-3.49
sir_6179754,Choeur Du Nord (FR),472,Class 3,18,4,1,1,2,1.02,0.22,1.76
sir_6179754,Choeur Du Nord (FR),472,Class 1,15,1,2,1,0,0.49,0.07,-13.33
sir_6179754,Choeur Du Nord (FR),472,Class 2,15,0,1,4,2,0.0,0.0,-15.0
sir_6179754,Choeur Du Nord (FR),472,Class 5,12,2,4,2,2,0.99,0.17,-4.12
sir_4602430,Getaway (GER),9107,,3342,266,323,284,275,0.75,0.08,-1411.62
sir_4602430,Getaway (GER),9107,Class 4,2441,354,333,278,270,0.93,0.15,-564.55
sir_4602430,Getaway (GER),9107,Class 5,1787,192,187,207,193,0.8,0.11,-463.18
sir_4602430,Getaway (GER),9107,Class 3,821,120,101,138,104,0.88,0.15,-201.79
sir_4602430,Getaway (GER),9107,Class 2,332,39,28,43,35,0.87,0.12,-42.42
sir_4602430,Getaway (GER),9107,Class 1,313,25,32,31,35,0.65,0.08,-161.09
sir_4602430,Getaway (GER),9107,Class 6,71,8,8,6,9,0.8,0.11,-37.57
sir_5551420,Masterstroke (USA),613,,423,35,50,43,36,0.77,0.08,-97.5
sir_5551420,Masterstroke (USA),613,Class 4,79,10,6,12,9,0.92,0.13,-40.38
sir_5551420,Masterstroke (USA),613,Class 5,57,8,7,4,4,1.13,0.14,11.58
sir_5551420,Masterstroke (USA),613,Class 3,26,2,4,4,4,0.51,0.08,-16.25
sir_5551420,Masterstroke (USA),613,Class 2,13,0,2,2,2,0.0,0.0,-13.0
sir_5551420,Masterstroke (USA),613,Class 1,10,0,2,1,1,0.0,0.0,-10.0
sir_5551420,Masterstroke (USA),613,Class 6,5,0,0,2,0,0.0,0.0,-5.0
sir_13423760,Beaumec De Houelle (FR),175,,131,11,15,14,16,0.66,0.08,-62.2
sir_13423760,Beaumec De Houelle (FR),175,Class 4,20,3,5,1,1,0.69,0.15,1.28
sir_13423760,Beaumec De Houelle (FR),175,Class 5,10,3,1,1,0,1.35,0.3,3.33
sir_13423760,Beaumec De Houelle (FR),175,Class 1,6,0,1,1,0,0.0,0.0,-6.0
sir_13423760,Beaumec De Houelle (FR),175,Class 3,6,0,0,0,1,0.0,0.0,-6.0
sir_13423760,Beaumec De Houelle (FR),175,Class 2,2,0,1,1,0,0.0,0.0,-2.0
sir_3993948,Kapgarde (FR),5896,,2784,312,292,316,267,0.83,0.11,-590.97
sir_3993948,Kapgarde (FR),5896,Class 4,1184,181,151,150,144,0.89,0.15,-249.14
sir_3993948,Kapgarde (FR),5896,Class 5,724,101,87,95,82,0.94,0.14,-2.99
sir_3993948,Kapgarde (FR),5896,Class 3,520,65,74,80,58,0.71,0.12,-142.5
sir_3993948,Kapgarde (FR),5896,Class 1,312,32,42,26,37,0.75,0.1,-66.13
sir_3993948,Kapgarde (FR),5896,Class 2,272,38,39,25,23,0.87,0.14,-20.84
sir_3993948,Kapgarde (FR),5896,Class 6,99,19,14,15,12,1.03,0.19,-13.35
sir_3993948,Kapgarde (FR),5896,Class 7,1,0,0,0,0,0.0,0.0,-1.0
sir_4218179,Walk In The Park (IRE),4614,,2468,344,267,247,218,0.92,0.14,-387.66
sir_4218179,Walk In The Park (IRE),4614,Class 4,861,114,135,125,103,0.74,0.13,-337.4
sir_4218179,Walk In The Park (IRE),4614,Class 5,596,82,86,69,88,0.83,0.14,38.14
sir_4218179,Walk In The Park (IRE),4614,Class 3,286,56,44,44,42,0.91,0.2,-82.11
sir_4218179,Walk In The Park (IRE),4614,Class 1,245,44,28,20,33,1.01,0.18,-15.8
sir_4218179,Walk In The Park (IRE),4614,Class 2,145,12,21,20,19,0.51,0.08,-13.05
sir_4218179,Walk In The Park (IRE),4614,Class 6,13,2,3,0,0,1.04,0.15,-3.5
sir_4494917,Papal Bull (GB),1537,,871,58,71,70,71,0.8,0.07,-280.07
sir_4494917,Papal Bull (GB),1537,Class 5,242,18,18,22,23,0.73,0.07,-112.58
sir_4494917,Papal Bull (GB),1537,Class 4,230,25,20,17,23,1.18,0.11,-58.39
sir_4494917,Papal Bull (GB),1537,Class 6,116,6,6,10,7,0.54,0.05,-70.14
sir_4494917,Papal Bull (GB),1537,Class 3,44,5,3,3,8,0.89,0.11,-24.33
sir_4494917,Papal Bull (GB),1537,Class 2,17,1,2,2,2,0.65,0.06,-14.0
