damsire_id,damsire
dsi_3962511,Refuse To Bend
dsi_3832675,Hawk Wing
dsi_484274,April Night
dsi_2129673,Bob Back
dsi_551887,Sabrehill
dsi_2124255,Shernazar
dsi_4270791,Mountain High
dsi_2126159,Green Desert
dsi_3544135,Indian River
dsi_21,Terimon
dsi_3849349,Where Or When
dsi_683137,Singspiel
dsi_3337180,High-Rise
dsi_453460,Sleeping Car
dsi_3150539,Zamindar
dsi_532063,Hernando
dsi_3897691,Phoenix Reach
dsi_4124288,Sleeping Indian
dsi_632765,Bahri
dsi_4623647,Archipenko
dsi_5344171,Frankel
dsi_3691611,Kyllachy
dsi_5411385,Born To Sea
dsi_6057142,Golden Horn
dsi_4943932,Intense Focus
dsi_4880631,Bushranger
dsi_4204550,Leroidesanimaux
dsi_6104063,Make Believe
dsi_5298622,Mayson
dsi_5746923,Intello
dsi_3153248,Cape Cross
dsi_3146626,Elnadim
dsi_4603018,Bernardini
dsi_4439239,Red Clubs
dsi_4799585,Paco Boy
dsi_5422165,Slade Power
dsi_97321,Rahy
dsi_2129750,Seattle Dancer
dsi_3833298,Johannesburg
dsi_4760049,Stimulation
dsi_5899537,Charm Spirit
dsi_4544750,War Front
dsi_5171712,Society Rock
dsi_5507334,Dragon Pulse
dsi_3234854,Cloudings
dsi_3952928,Clodovil
dsi_4058915,Kheleyf
dsi_3798977,Broken Vow
dsi_5880140,Kingman
dsi_3763522,Street Cry
dsi_3616368,King's Best
dsi_467929,Imperial Ballet
dsi_4091143,Iffraaj
dsi_675241,Halling
dsi_3814832,Rock Of Gibraltar
dsi_5272953,Elzaam
dsi_5493992,Camelot
dsi_5988269,Muhaarar
dsi_4009068,Haafhd
dsi_5785444,Australia
dsi_4131533,Motivator
dsi_5454624,Power
dsi_4247215,Manduro
dsi_5152770,Showcasing
dsi_5601162,Sir Prancealot
dsi_3962056,Elusive City
dsi_3136021,Bahamian Bounty
dsi_591094,Piccolo
dsi_3126837,Verglas
dsi_3143581,Kylian
dsi_371490,Machiavellian
dsi_3336389,Distorted Humor
dsi_5164208,Poet's Voice
dsi_4176179,Rock Hard Ten
dsi_5163571,Vale Of York
dsi_690949,Tamure
dsi_675766,Classic Cliche
dsi_4779124,Raven's Pass
dsi_5586742,Quiet American
dsi_4598440,Creachadoir
dsi_2126166,Bering
dsi_740670,Shantou
dsi_725431,Valanour
dsi_3983700,Doyen
dsi_343609,Royal Academy
dsi_740341,Grape Tree Road
dsi_3129539,Cachet Noir
dsi_236495,Lute Antique
dsi_2135021,Royal Charter
dsi_522410,Kadalko
dsi_3204334,Grand Tresor
dsi_431627,Sheyrann
dsi_2128469,Mister Lord
dsi_681177,Oscar Schindler
dsi_3842790,Ballingarry
dsi_3090514,Well Chosen
dsi_421554,Panoramic I
dsi_447930,Michel Georges
dsi_553728,Marchand De Sable
dsi_467075,Johann Quatz
dsi_4067126,Lucky Story
dsi_4589844,Rail Link
dsi_611072,Grand Lodge
dsi_4581976,Excellent Art
dsi_736442,Ali-Royal
dsi_3270568,Trans Island
dsi_5528656,Heeraat
dsi_5494055,Gregorian
dsi_152166,Soviet Star
dsi_4058978,Majestic Missile
dsi_4585931,Hellvelyn
dsi_4058614,Byron
dsi_4797457,Atlantic Sport
dsi_5126478,Canford Cliffs
dsi_5475813,Lilbourne Lad
dsi_5084065,Starspangledbanner
dsi_5126548,Frozen Power
dsi_5248348,Zebedee
dsi_4869837,Rip Van Winkle
dsi_4631403,Sakhee's Secret
dsi_3862180,Proud Citizen
dsi_3548930,Sakhee
dsi_5876514,Night Of Thunder
dsi_5472908,Requinto
dsi_4759678,Fast Company
dsi_65541,Cadeaux Genereux
dsi_4618404,Dutch Art
dsi_3523695,Arch
dsi_3314507,Diktat
dsi_4871279,Masterofthehorse
dsi_4605440,Cockney Rebel
dsi_2125739,Fayruz
dsi_3502562,Jet Master
dsi_3631110,More Than Ready
dsi_3643801,Exchange Rate
dsi_370027,Band On The Run
dsi_4690833,New Approach
dsi_742126,Titus Livius
dsi_5245191,Excelebration
dsi_531678,Inchinor
dsi_5647166,Dawn Approach
dsi_4953634,Sayif
dsi_2129764,Theatrical
dsi_435050,Selkirk
dsi_3256673,Dr Fong
dsi_4091213,Ghostzapper
dsi_4387173,Assertive
dsi_480634,Wolfhound
dsi_425999,Marju
dsi_4345138,Misu Bond
dsi_3930934,Mineshaft
dsi_4796617,Aqlaam
dsi_3779741,Le Fou
dsi_736484,Mark Of Esteem
dsi_491694,Cardoun
dsi_3973207,Soave
dsi_3503556,Areion
dsi_388108,Linamix
dsi_5197836,So You Think
dsi_699034,Darazari
dsi_4168122,Balko
dsi_406483,Bravefoot
dsi_4572834,Gentlewave
dsi_534982,Grand Plaisir
dsi_71680,Doyoun
dsi_409983,Epervier Bleu
dsi_740320,Dushyantor
dsi_60907,Zaffaran
dsi_33194,Relief Pitcher
dsi_735252,Discover D'Auteuil
dsi_3209703,HawkstoneI
dsi_3363066,Fantastic Light
dsi_590303,Eagle Eyed
dsi_3522050,Lemon Drop Kid
dsi_45507,Carroll House
dsi_699573,Le Triton
dsi_711046,East Of Heaven
dsi_4087860,Geordieland
dsi_571676,Blushing Flame
dsi_763560,Bahhare
dsi_2112817,Persian Bold
dsi_2129603,Gone West
dsi_4885167,Art Connoisseur
dsi_606389,Sternkoenig
dsi_3697442,Medicean
dsi_5460231,Foxwedge
dsi_2135231,Red Ransom
dsi_4889178,Street Boss
dsi_764127,Intikhab
dsi_4996964,Cityscape
dsi_5246346,Wootton Bassett
dsi_4756437,Henrythenavigator
dsi_5393906,Animal Kingdom
dsi_3768751,Keltos
dsi_4677617,My Halo
dsi_4056962,Antonius Pius
dsi_5925710,Due Diligence
dsi_4985372,Delegator
dsi_4728696,Curlin
dsi_3585372,Bach
dsi_411852,Polar Falcon
dsi_2110283,Mandalus
dsi_332059,Polish Precedent
dsi_3769220,Califet
dsi_2106762,Good Thyne
dsi_651812,Sri Pekan
dsi_4594863,Captain Marvelous
dsi_3420004,Bertolini
dsi_3359874,Daliapour
dsi_552440,Smadoun
dsi_627592,Tikkanen
dsi_458570,Romany Rye
dsi_115437,Mtoto
dsi_4507160,Darsi
dsi_4208057,Aragorn
dsi_4741954,Zambezi Sun
dsi_343651,Sanglamore
dsi_379323,Quest For Fame
dsi_3186393,Alamo Bay
dsi_2124878,Cozzene
dsi_4247670,Konigstiger
dsi_2100756,Aristocracy
dsi_2129596,Highest Honor
dsi_405559,Generous
dsi_86870,Unfuwain
dsi_3868963,Special Kaldoun
dsi_572439,Lost World
dsi_3150329,Entrepreneur
dsi_764582,Rainwatch
dsi_590415,Green Tune
dsi_3223696,Fragrant Mix
dsi_2115099,Saint Cyrien
dsi_727853,Atraf
dsi_476742,Lomitas
dsi_2125032,Sula Bula
dsi_4209772,Malinas
dsi_621082,Double Trigger
dsi_625933,Hawker's News
dsi_3252319,Antarctique
dsi_764316,Marathon
dsi_4863383,Mawatheeq
dsi_5601218,Toronado
dsi_5535299,Dabirsim
dsi_2129729,Storm Cat
dsi_3645047,Blu Air Force
dsi_5266135,Makfi
dsi_5237701,Nathaniel
dsi_4176963,Indesatchel
dsi_2129337,Efisio
dsi_3270757,Shinko Forest
dsi_2134608,Dynaformer
dsi_5108635,Red Jazz
dsi_3965115,Trade Fair
dsi_4490136,English Channel
dsi_3263337,Elusive Quality
dsi_4034121,Empire Maker
dsi_3940377,Monsieur Bond
dsi_4846485,Equiano
dsi_4038069,Moss Vale
dsi_3709314,Noverre
dsi_2133222,Seeking The Gold
dsi_510454,Barathea
dsi_5312636,Tin Horse
dsi_4165063,Tapit
dsi_406112,Rudimentary
dsi_3647567,Al Namix
dsi_3983273,Kris Kin
dsi_3135601,Desert King
dsi_2100399,Alzao
dsi_4038104,Pastoral Pursuits
dsi_3508001,Sendawar
dsi_4455885,Coin Silver
dsi_590884,Broadway Flyer
dsi_344337,Dashing Blade
dsi_4449795,George Washington
dsi_720111,Woodborough
dsi_3728893,Libourne
dsi_4519235,Lord Of England
dsi_2126243,Shahrastani
dsi_3885084,Secret Singer
dsi_4623654,Astronomer Royal
dsi_479486,Fraam
