race_id,course_decoded,off_time,horse_decoded,predicted_prob,odds_decimal,field_size_unscaled
rac_11561550,Hereford,2:30,Alexandra Larose,0.9760849,-0.4668640106403445,9
rac_11561550,Hereford,2:30,Mistral Blue,0.68568814,-0.0677756501879737,9
rac_11561550,Hereford,2:30,Hellfire Princess,0.66216147,-0.4122269136736509,9
rac_11561511,Hereford,3:00,Lara Kaleo,0.99,-0.5191255816519645,8
rac_11561511,Hereford,3:00,Bellas Bridge,0.5696122,-0.4858682182809337,8
rac_11561511,Hereford,3:00,Jackie Can,0.15398504,0.6923926554355896,8
rac_11561537,Hereford,3:32,Iskar d'Airy,0.98587716,-0.4763661144606391,6
rac_11561537,Hereford,3:32,Dirty Den,0.50483626,-0.4566492490335279,6
rac_11561563,Hereford,4:07,Time Interval,0.4161232,-0.4162653077972761,7
rac_11561563,Hereford,4:07,Renoir,0.39026207,-0.4300433583367032,7
rac_11561524,Hereford,4:42,Pep Talking,0.86004657,-0.4300433583367032,7
rac_11561524,Hereford,4:42,Everyonesacritic,0.62325084,-0.4003492838982827,7
rac_11563851,Kempton (AW),4:20,Greydreambeliever,0.4995247,-0.4806420611797716,6
rac_11563851,Kempton (AW),4:20,Glamour Show,0.45877835,-0.4419209881120713,6
rac_11585704,Kempton (AW),5:30,Fearnot,0.99,-0.4656762476628077,10
rac_11563877,Kempton (AW),6:00,Lady Manzor,0.91537094,-0.4122269136736509,10
rac_11563877,Kempton (AW),6:00,Penelope Valentine,0.72923696,-0.5191255816519645,10
rac_11563877,Kempton (AW),6:00,Packetofbiscuits,0.472964,-0.3053282456953373,10
rac_11585691,Kempton (AW),6:30,Whizz By,0.69331634,-0.3409611350214419,10
rac_11585691,Kempton (AW),6:30,This Farh,0.6144386,-0.2578177265938646,10
rac_11585691,Kempton (AW),6:30,Sabrimento,0.5626766,-0.3647163945721782,10
rac_11563825,Kempton (AW),7:00,Heathcliff,0.7595415,-0.4241045434490191,9
rac_11563825,Kempton (AW),7:00,Mount Athos,0.5677079,-0.4122269136736509,9
rac_11563825,Kempton (AW),7:00,Local Hero,0.5457365,-0.35283876479681,9
rac_11563838,Kempton (AW),7:30,Invited,0.7327912,-0.2815729861446009,7
rac_11563838,Kempton (AW),7:30,Spirit Lead Me,0.6680236,-0.3172058754707055,7
rac_11563903,Kempton (AW),8:00,Harry Brown,0.6342361,-0.2103072074923919,11
rac_11563903,Kempton (AW),8:00,Ten Club,0.5926329,-0.35283876479681,11
rac_11563903,Kempton (AW),8:00,Arlecchino's Gift,0.53381634,0.0272453880149716,11
rac_11563864,Kempton (AW),8:30,Legacy Power,0.6629871,-0.4507104341458438,6
rac_11563864,Kempton (AW),8:30,Donald Llewellyn,0.60041976,-0.3647163945721782,6
rac_11561628,Market Rasen,2:15,Castanea Breeze,0.24759346,-0.475653456674117,6
rac_11561628,Market Rasen,2:15,He's A Diamond,0.18817933,-0.020265131086501,6
rac_11561615,Market Rasen,2:45,Youdecide,0.69749117,-0.4668640106403445,9
rac_11561615,Market Rasen,2:45,I'm Your Buckaroo,0.26128605,-0.4003492838982827,9
rac_11561615,Market Rasen,2:45,Scottish King,0.16231273,-0.020265131086501,9
rac_11561589,Market Rasen,3:15,Ostend,0.7417933,-0.3884716541229145,4
rac_11561641,Market Rasen,3:50,Mistress Emma,0.65653443,-0.4359821732243872,5
rac_11561641,Market Rasen,3:50,Saisissante,0.4792848,-0.2340624670431282,5
rac_11561602,Market Rasen,4:25,Ensel Du Perche,0.90841854,-0.4478598029997555,7
rac_11561602,Market Rasen,4:25,Pittsburg,0.44985327,-0.4419209881120713,7
