race_id,course_decoded,off_time,horse_decoded,predicted_prob,odds_decimal,field_size_unscaled
rac_11562473,Fakenham,2:10,Summerleaze,0.42194483,-0.4858682182809337,6
rac_11562473,Fakenham,2:10,Regally Blonde,0.39318812,-0.3290835052460736,6
rac_11562486,Fakenham,2:40,One Million Dreams,0.34400716,-0.4162653077972761,6
rac_11562486,Fakenham,2:40,Peerless Percy,0.1952026,0.454840059928226,6
rac_11562460,Fakenham,3:10,Loud And Proud,0.19731578,-0.4692395365954181,4
rac_11562434,Fakenham,3:45,Star Legend,0.6536776,-0.4122269136736509,5
rac_11562434,Fakenham,3:45,For Gina,0.5883361,-0.3765940243475464,5
rac_11562447,Fakenham,4:20,Samourai One,0.78545946,-0.5191255816519645,6
rac_11562447,Fakenham,4:20,Lyrical Genius,0.6791961,-0.5191255816519645,6
rac_11562421,Fakenham,4:20,Watergrange Jack,0.66945994,-0.3053282456953373,5
rac_11562421,Fakenham,4:20,Busy Being Busy,0.41794336,-0.4716150625504918,5
rac_11562499,Fakenham,4:55,Red Delta,0.14513038,-0.4597374327751236,3
rac_11562551,Kempton,2:22,Go West,0.084533855,-0.4806420611797716,3
rac_11562564,Kempton,2:52,Character Testing,0.7412356,-0.3765940243475464,11
rac_11562564,Kempton,2:52,Kally Des Bruyeres,0.6108268,0.0272453880149716,11
rac_11562564,Kempton,2:52,Gregorians Star,0.5495859,-0.2815729861446009,11
rac_11562525,Kempton,3:22,Demoiselle Kap,0.424478,-0.4656762476628077,5
rac_11562525,Kempton,3:22,El Rojo Grande,0.31507856,-0.1152861692894464,5
rac_11562512,Kempton,3:55,Ideal Des Bordes,0.56597495,-0.4419209881120713,5
rac_11562512,Kempton,3:55,Hermino AA,0.4642535,-0.3053282456953373,5
rac_11562538,Kempton,4:30,Prolific Profile,0.8080599,-0.3172058754707055,6
rac_11562538,Kempton,4:30,Royal Way,0.6151378,-0.4419209881120713,6
rac_11562577,Kempton,5:05,Sam Barton,0.5153883,0.6923926554355896,8
rac_11562577,Kempton,5:05,Before Midnight,0.49683854,-0.35283876479681,8
rac_11562577,Kempton,5:05,Captain Tommy,0.42306784,-0.4419209881120713,8
rac_11564683,Lingfield (AW),2:02,Tyger Bay,0.5942347,-0.4003492838982827,9
rac_11564683,Lingfield (AW),2:02,Charlie Mason,0.45651555,-0.4122269136736509,9
rac_11564683,Lingfield (AW),2:02,Profit And Loss,0.28872982,-0.3290835052460736,9
rac_11564709,Lingfield (AW),2:32,Mandana,0.43385407,-0.462588063921212,9
rac_11564709,Lingfield (AW),2:32,Princess Mia,0.42036593,-0.3053282456953373,9
rac_11564709,Lingfield (AW),2:32,Sixteen One,0.33797812,-0.3290835052460736,9
rac_11564670,Lingfield (AW),3:02,Zariela,0.54228014,-0.4122269136736509,6
rac_11564670,Lingfield (AW),3:02,Disclosure,0.36498466,-0.4162653077972761,6
rac_11564657,Lingfield (AW),3:38,Upepo,0.78264785,-0.4300433583367032,6
rac_11564657,Lingfield (AW),3:38,Dance Time,0.23025167,-0.35283876479681,6
rac_11564696,Lingfield (AW),4:13,Moonlit Stage,0.4409968,-0.2578177265938646,7
rac_11564696,Lingfield (AW),4:13,War Hawk,0.17949443,-0.4737530359100581,7
rac_11564644,Lingfield (AW),4:48,The Bitter Moose,0.69103396,-0.2815729861446009,8
rac_11564644,Lingfield (AW),4:48,Hitched,0.6786754,-0.3884716541229145,8
rac_11564644,Lingfield (AW),4:48,Urban Sprawl,0.55918795,-0.4537986178874395,8
rac_11564722,Lingfield (AW),5:20,Coolagh Magic,0.5519947,-0.2340624670431282,7
rac_11564722,Lingfield (AW),5:20,The Defiant,0.54382235,-0.2815729861446009,7
rac_11564579,Wolverhampton (AW),5:25,Douglas Dc,0.60667956,-0.3290835052460736,11
rac_11564579,Wolverhampton (AW),5:25,Two Plus Two,0.32989353,-0.2340624670431282,11
rac_11564579,Wolverhampton (AW),5:25,This Time Maybe,0.2998255,-0.3647163945721782,11
rac_11564605,Wolverhampton (AW),6:00,Unknown Horse,0.01,-0.4003492838982827,1
rac_11564592,Wolverhampton (AW),6:30,Nobleman,0.6901551,-0.4858682182809337,6
rac_11564592,Wolverhampton (AW),6:30,Unknown Journey,0.45361415,0.2885532430730715,6
rac_11564553,Wolverhampton (AW),7:00,Muscika,0.60735345,-0.2103072074923919,9
rac_11564553,Wolverhampton (AW),7:00,Hectic,0.46248066,0.0985111666671807,9
rac_11564553,Wolverhampton (AW),7:00,Cargin Bhui,0.40408915,-0.3884716541229145,9
rac_11564566,Wolverhampton (AW),7:30,Kiss Me My Love,0.6883043,-0.3647163945721782,9
rac_11564566,Wolverhampton (AW),7:30,The Thames Lady,0.60283864,-0.3884716541229145,9
rac_11564566,Wolverhampton (AW),7:30,Style King,0.40305027,-0.2578177265938646,9
rac_11564631,Wolverhampton (AW),8:00,Triggered,0.5803741,-0.2815729861446009,9
rac_11564631,Wolverhampton (AW),8:00,Split Elevens,0.54780066,-0.3172058754707055,9
rac_11564631,Wolverhampton (AW),8:00,Rogue Thunder,0.5465572,-0.35283876479681,9
rac_11564618,Wolverhampton (AW),8:30,Forever Proud,0.7728895,-0.3884716541229145,10
rac_11564618,Wolverhampton (AW),8:30,Poetic Force,0.6220619,0.2885532430730715,10
rac_11564618,Wolverhampton (AW),8:30,I Can't Believe,0.6110238,-0.3409611350214419,10
