damsire_id,damsire_name,total_runners,dist_f,runners,1st,2nd,3rd,4th,a/e,win_%,1_pl
dsi_296359,Old Vic,9880,16f,1846,209,195,166,178,0.92,0.11,-327.52
dsi_296359,Old Vic,9880,20f,1234,141,139,138,115,0.81,0.11,-283.91
dsi_296359,Old Vic,9880,24f,728,70,88,76,69,0.75,0.1,-202.52
dsi_296359,Old Vic,9880,16.5f,512,67,42,43,57,1.0,0.13,-1.55
dsi_296359,Old Vic,9880,19.5f,438,68,55,52,47,1.08,0.16,-37.74
dsi_296359,Old Vic,9880,20.5f,436,60,47,56,43,0.96,0.14,-22.58
dsi_296359,Old Vic,9880,19f,406,54,43,48,38,0.92,0.13,-157.89
dsi_296359,Old Vic,9880,21f,386,46,53,39,28,0.91,0.12,-59.32
dsi_296359,Old Vic,9880,17f,378,36,48,33,40,0.74,0.1,-81.71
dsi_296359,Old Vic,9880,21.5f,298,52,30,38,32,1.17,0.17,124.08
dsi_296359,Old Vic,9880,23.5f,256,35,34,39,26,0.96,0.14,-35.51
dsi_296359,Old Vic,9880,23f,238,35,29,26,32,0.99,0.15,-62.04
dsi_296359,Old Vic,9880,24.5f,225,29,19,22,26,0.96,0.13,-27.7
dsi_296359,Old Vic,9880,22f,224,29,22,18,23,1.01,0.13,-84.34
dsi_296359,Old Vic,9880,15.5f,215,35,37,25,12,1.08,0.16,-2.64
dsi_296359,Old Vic,9880,18f,213,28,25,21,23,0.96,0.13,-40.92
dsi_296359,Old Vic,9880,12f,190,25,24,20,16,0.92,0.13,-79.8
dsi_296359,Old Vic,9880,25f,168,16,25,16,18,0.66,0.1,-93.22
dsi_296359,Old Vic,9880,26f,141,24,20,22,9,1.17,0.17,22.6
dsi_296359,Old Vic,9880,22.5f,127,15,12,10,12,0.87,0.12,-52.12
dsi_296359,Old Vic,9880,17.5f,127,19,23,12,14,0.95,0.15,-38.49
dsi_296359,Old Vic,9880,10f,115,10,7,10,11,0.79,0.09,-41.55
dsi_296359,Old Vic,9880,18.5f,115,12,13,18,16,0.69,0.1,-54.71
dsi_296359,Old Vic,9880,7f,106,10,10,7,8,1.11,0.09,-11.0
dsi_296359,Old Vic,9880,8f,102,6,10,6,9,0.69,0.06,-65.2
dsi_296359,Old Vic,9880,25.5f,95,15,15,15,6,0.93,0.16,-11.08
dsi_296359,Old Vic,9880,14f,76,10,8,11,4,0.92,0.13,-29.14
dsi_296359,Old Vic,9880,6f,63,6,4,6,8,0.97,0.1,38.9
dsi_296359,Old Vic,9880,26.5f,53,7,6,7,7,0.89,0.13,-24.95
dsi_296359,Old Vic,9880,11f,35,6,8,7,0,0.94,0.17,-18.1
dsi_296359,Old Vic,9880,9.5f,31,6,5,2,1,1.56,0.19,11.66
dsi_296359,Old Vic,9880,29f,30,2,1,1,1,0.68,0.07,-17.5
dsi_296359,Old Vic,9880,8.5f,27,4,3,2,1,1.07,0.15,-8.83
dsi_296359,Old Vic,9880,13f,24,0,1,2,2,0.0,0.0,-24.0
dsi_296359,Old Vic,9880,15f,23,4,1,3,2,1.21,0.17,6.7
dsi_296359,Old Vic,9880,9f,21,1,3,1,3,0.37,0.05,-19.6
dsi_296359,Old Vic,9880,11.5f,19,4,4,0,2,1.61,0.21,0.0
dsi_296359,Old Vic,9880,12.5f,17,1,2,2,1,0.64,0.06,-11.0
dsi_296359,Old Vic,9880,10.5f,15,2,2,0,1,1.06,0.13,1.9
dsi_296359,Old Vic,9880,30.5f,15,1,0,0,1,0.71,0.07,-7.0
dsi_296359,Old Vic,9880,28f,12,2,1,3,0,1.35,0.17,-1.5
dsi_296359,Old Vic,9880,27f,12,2,3,3,2,1.13,0.17,0.38
dsi_296359,Old Vic,9880,32f,11,1,1,1,0,1.47,0.09,23.0
dsi_296359,Old Vic,9880,5f,10,0,1,0,0,0.0,0.0,-10.0
dsi_296359,Old Vic,9880,7.5f,10,2,0,0,1,1.62,0.2,1.5
dsi_296359,Old Vic,9880,13.5f,9,1,2,1,1,0.8,0.11,-5.75
dsi_296359,Old Vic,9880,27.5f,9,0,0,1,0,0.0,0.0,-9.0
dsi_296359,Old Vic,9880,28.5f,8,3,0,0,0,2.83,0.38,16.5
dsi_296359,Old Vic,9880,34.5f,8,0,0,0,0,0.0,0.0,-8.0
dsi_296359,Old Vic,9880,32.5f,5,0,1,1,0,0.0,0.0,-5.0
dsi_296359,Old Vic,9880,14.5f,4,0,0,1,0,0.0,0.0,-4.0
dsi_296359,Old Vic,9880,34f,3,0,0,3,0,0.0,0.0,-3.0
dsi_296359,Old Vic,9880,31f,2,0,0,0,0,0.0,0.0,-2.0
dsi_296359,Old Vic,9880,30f,2,1,1,0,0,2.55,0.5,1.0
dsi_296359,Old Vic,9880,29.5f,2,0,1,1,0,0.0,0.0,-2.0
dsi_296359,Old Vic,9880,33.5f,2,0,0,0,0,0.0,0.0,-2.0
dsi_296359,Old Vic,9880,33f,1,0,0,0,0,0.0,0.0,-1.0
dsi_296359,Old Vic,9880,6.5f,1,0,0,0,0,0.0,0.0,-1.0
dsi_296359,Old Vic,9880,31.5f,1,0,0,0,0,0.0,0.0,-1.0
dsi_3843581,Bollin Eric,154,16f,38,9,1,5,4,1.47,0.24,15.25
dsi_3843581,Bollin Eric,154,16.5f,23,2,2,7,2,0.6,0.09,-10.5
dsi_3843581,Bollin Eric,154,12f,10,0,0,2,1,0.0,0.0,-10.0
dsi_3843581,Bollin Eric,154,24.5f,9,3,0,0,0,1.6,0.33,2.03
dsi_3843581,Bollin Eric,154,20f,9,2,1,2,0,1.49,0.22,0.25
dsi_3843581,Bollin Eric,154,19.5f,6,1,0,1,0,0.99,0.17,-4.33
dsi_3843581,Bollin Eric,154,11f,6,0,0,1,1,0.0,0.0,-6.0
dsi_3843581,Bollin Eric,154,24f,5,3,1,0,0,2.03,0.6,52.43
dsi_3843581,Bollin Eric,154,21.5f,5,0,0,0,0,0.0,0.0,-5.0
dsi_3843581,Bollin Eric,154,10f,5,1,0,0,0,1.79,0.2,-0.3
dsi_3843581,Bollin Eric,154,17f,4,1,0,0,0,2.95,0.25,-0.5
dsi_3843581,Bollin Eric,154,25f,4,1,1,1,0,0.41,0.25,-2.75
dsi_3843581,Bollin Eric,154,18.5f,4,0,1,1,0,0.0,0.0,-4.0
dsi_3843581,Bollin Eric,154,21f,4,0,1,1,0,0.0,0.0,-4.0
dsi_3843581,Bollin Eric,154,23.5f,3,2,1,0,0,2.43,0.67,7.75
dsi_3843581,Bollin Eric,154,26f,2,0,2,0,0,0.0,0.0,-2.0
dsi_3843581,Bollin Eric,154,20.5f,2,1,1,0,0,2.6,0.5,6.5
dsi_3843581,Bollin Eric,154,15.5f,2,0,1,0,0,0.0,0.0,-2.0
dsi_3843581,Bollin Eric,154,17.5f,2,0,0,1,0,0.0,0.0,-2.0
dsi_3843581,Bollin Eric,154,14f,2,0,0,0,0,0.0,0.0,-2.0
dsi_3843581,Bollin Eric,154,23f,1,0,0,0,0,0.0,0.0,-1.0
dsi_3843581,Bollin Eric,154,25.5f,1,0,0,0,0,0.0,0.0,-1.0
dsi_3843581,Bollin Eric,154,8f,1,1,0,0,0,4.3,1.0,3.3
dsi_3843581,Bollin Eric,154,8.5f,1,0,0,0,0,0.0,0.0,-1.0
dsi_3843581,Bollin Eric,154,15f,1,0,0,0,1,0.0,0.0,-1.0
dsi_3843581,Bollin Eric,154,7.5f,1,0,1,0,0,0.0,0.0,-1.0
dsi_3843581,Bollin Eric,154,9.5f,1,0,0,0,0,0.0,0.0,-1.0
dsi_3843581,Bollin Eric,154,26.5f,1,0,0,0,0,0.0,0.0,-1.0
dsi_3843581,Bollin Eric,154,19f,1,0,0,0,1,0.0,0.0,-1.0
dsi_3276504,Muhtathir,3096,8f,437,27,35,37,42,0.68,0.06,-162.5
dsi_3276504,Muhtathir,3096,9.5f,269,23,21,23,16,0.92,0.09,-92.2
dsi_3276504,Muhtathir,3096,7f,233,23,23,25,17,0.95,0.1,-4.88
dsi_3276504,Muhtathir,3096,10f,197,18,21,20,23,0.74,0.09,-116.14
dsi_3276504,Muhtathir,3096,18f,171,20,11,11,22,0.94,0.12,-39.0
dsi_3276504,Muhtathir,3096,12f,162,23,17,16,14,1.13,0.14,17.3
dsi_3276504,Muhtathir,3096,16f,142,19,14,10,8,0.92,0.13,36.53
dsi_3276504,Muhtathir,3096,10.5f,113,6,13,13,10,0.49,0.05,-69.5
dsi_3276504,Muhtathir,3096,17.5f,101,11,10,8,13,0.92,0.11,24.1
dsi_3276504,Muhtathir,3096,6f,101,8,7,16,4,0.72,0.08,-53.41
dsi_3276504,Muhtathir,3096,12.5f,100,7,6,13,9,0.68,0.07,-52.72
dsi_3276504,Muhtathir,3096,6.5f,91,9,3,5,9,1.0,0.1,28.0
dsi_3276504,Muhtathir,3096,9f,85,8,10,9,13,0.79,0.09,8.5
dsi_3276504,Muhtathir,3096,7.5f,81,4,9,6,6,0.5,0.05,-28.4
dsi_3276504,Muhtathir,3096,19.5f,70,7,11,6,13,0.86,0.1,-11.82
dsi_3276504,Muhtathir,3096,17f,70,10,9,6,5,0.91,0.14,-17.09
dsi_3276504,Muhtathir,3096,22f,65,9,7,8,5,1.16,0.14,24.4
dsi_3276504,Muhtathir,3096,20f,53,9,8,6,4,1.16,0.17,12.28
dsi_3276504,Muhtathir,3096,19f,52,6,5,5,9,0.79,0.12,-17.3
dsi_3276504,Muhtathir,3096,15f,50,5,10,2,2,0.75,0.1,-24.5
dsi_3276504,Muhtathir,3096,14f,49,7,10,4,8,1.02,0.14,-15.0
dsi_3276504,Muhtathir,3096,16.5f,41,4,4,4,5,0.61,0.1,-28.77
dsi_3276504,Muhtathir,3096,11f,39,5,3,3,6,0.96,0.13,-6.05
dsi_3276504,Muhtathir,3096,21.5f,31,3,3,3,3,0.74,0.1,-3.79
dsi_3276504,Muhtathir,3096,8.5f,31,10,1,4,1,2.3,0.32,31.8
dsi_3276504,Muhtathir,3096,15.5f,30,6,1,9,3,1.1,0.2,8.6
dsi_3276504,Muhtathir,3096,20.5f,25,6,3,4,4,1.65,0.24,35.13
dsi_3276504,Muhtathir,3096,13.5f,24,2,2,4,2,0.58,0.08,-12.5
dsi_3276504,Muhtathir,3096,5f,23,1,3,0,2,0.43,0.04,-18.0
dsi_3276504,Muhtathir,3096,23.5f,21,3,4,3,2,0.97,0.14,-5.2
dsi_3276504,Muhtathir,3096,24f,17,2,2,0,3,0.9,0.12,-8.3
dsi_3276504,Muhtathir,3096,18.5f,17,3,3,3,2,1.39,0.18,26.6
dsi_3276504,Muhtathir,3096,5.5f,14,1,0,2,1,0.81,0.07,1.8
dsi_3276504,Muhtathir,3096,21f,14,0,2,2,2,0.0,0.0,-14.0
dsi_3276504,Muhtathir,3096,13f,11,1,1,0,0,1.02,0.09,-1.0
dsi_3276504,Muhtathir,3096,23f,9,1,0,0,2,0.87,0.11,-5.0
dsi_3276504,Muhtathir,3096,11.5f,8,0,1,1,1,0.0,0.0,-8.0
dsi_3276504,Muhtathir,3096,26f,8,3,2,2,0,1.77,0.38,11.67
dsi_3276504,Muhtathir,3096,25.5f,7,1,0,2,0,1.13,0.14,-2.5
dsi_3276504,Muhtathir,3096,25f,6,0,3,0,0,0.0,0.0,-6.0
dsi_3276504,Muhtathir,3096,24.5f,6,2,0,1,1,2.29,0.33,0.63
dsi_3276504,Muhtathir,3096,22.5f,4,3,0,1,0,1.73,0.75,15.8
dsi_3276504,Muhtathir,3096,14.5f,4,1,1,1,0,1.38,0.25,-0.5
dsi_3276504,Muhtathir,3096,34.5f,3,0,0,0,0,0.0,0.0,-3.0
dsi_3276504,Muhtathir,3096,28.5f,2,0,0,1,0,0.0,0.0,-2.0
dsi_3276504,Muhtathir,3096,29f,2,0,0,0,0,0.0,0.0,-2.0
dsi_3276504,Muhtathir,3096,30f,2,1,0,1,0,3.37,0.5,2.1
dsi_3276504,Muhtathir,3096,27.5f,1,0,0,0,1,0.0,0.0,-1.0
dsi_3276504,Muhtathir,3096,30.5f,1,1,0,0,0,8.0,1.0,7.0
dsi_3276504,Muhtathir,3096,28f,1,0,0,0,0,0.0,0.0,-1.0
dsi_3276504,Muhtathir,3096,27f,1,0,0,0,0,0.0,0.0,-1.0
dsi_3276504,Muhtathir,3096,26.5f,1,1,0,0,0,17.0,1.0,16.0
dsi_301889,Mansonnien,3645,18f,410,58,45,40,36,0.96,0.14,33.59
dsi_301889,Mansonnien,3645,16f,410,59,65,53,39,0.85,0.14,-94.94
dsi_301889,Mansonnien,3645,17.5f,358,50,34,39,40,0.87,0.14,33.85
dsi_301889,Mansonnien,3645,20f,255,35,33,36,34,0.85,0.14,-68.81
dsi_301889,Mansonnien,3645,19.5f,236,28,30,19,17,0.88,0.12,-56.32
dsi_301889,Mansonnien,3645,19f,188,22,31,23,16,0.71,0.12,-54.28
dsi_301889,Mansonnien,3645,24f,184,22,23,23,10,0.86,0.12,-30.45
dsi_301889,Mansonnien,3645,22f,168,24,25,14,17,0.91,0.14,-20.52
dsi_301889,Mansonnien,3645,16.5f,165,16,25,23,23,0.58,0.1,-35.83
dsi_301889,Mansonnien,3645,17f,155,18,24,20,7,0.78,0.12,-31.4
dsi_301889,Mansonnien,3645,20.5f,140,18,26,14,16,0.93,0.13,-34.21
dsi_301889,Mansonnien,3645,21.5f,130,19,20,10,16,1.0,0.15,-0.22
dsi_301889,Mansonnien,3645,15.5f,108,26,11,12,9,1.25,0.24,49.66
dsi_301889,Mansonnien,3645,21f,103,21,7,14,15,1.26,0.2,52.72
dsi_301889,Mansonnien,3645,15f,90,11,9,10,9,0.78,0.12,-29.05
dsi_301889,Mansonnien,3645,18.5f,67,13,3,7,2,1.67,0.19,55.9
dsi_301889,Mansonnien,3645,23.5f,56,10,9,4,7,1.52,0.18,71.3
dsi_301889,Mansonnien,3645,24.5f,51,9,3,10,3,1.24,0.18,-2.93
dsi_301889,Mansonnien,3645,23f,51,7,2,8,3,0.92,0.14,5.8
dsi_301889,Mansonnien,3645,22.5f,41,5,3,4,7,0.92,0.12,-16.1
dsi_301889,Mansonnien,3645,25f,40,3,6,4,2,0.68,0.07,-13.0
dsi_301889,Mansonnien,3645,26f,39,1,2,4,2,0.3,0.03,-33.5
dsi_301889,Mansonnien,3645,12f,30,4,4,1,1,1.5,0.13,-5.0
dsi_301889,Mansonnien,3645,12.5f,23,2,4,1,3,0.98,0.09,-4.1
dsi_301889,Mansonnien,3645,25.5f,22,2,3,4,2,0.68,0.09,-8.0
dsi_301889,Mansonnien,3645,30f,15,3,1,0,1,2.05,0.2,18.6
dsi_301889,Mansonnien,3645,10f,11,0,0,1,2,0.0,0.0,-11.0
dsi_301889,Mansonnien,3645,9.5f,10,0,1,0,0,0.0,0.0,-10.0
dsi_301889,Mansonnien,3645,26.5f,8,0,0,1,0,0.0,0.0,-8.0
dsi_301889,Mansonnien,3645,8f,8,0,2,0,0,0.0,0.0,-8.0
dsi_301889,Mansonnien,3645,14f,8,2,2,1,0,1.37,0.25,-2.5
dsi_301889,Mansonnien,3645,27.5f,8,0,2,0,3,0.0,0.0,-8.0
dsi_301889,Mansonnien,3645,10.5f,7,0,1,1,0,0.0,0.0,-7.0
dsi_301889,Mansonnien,3645,11f,6,0,1,1,0,0.0,0.0,-6.0
dsi_301889,Mansonnien,3645,13.5f,6,1,2,1,1,0.82,0.17,-0.8
dsi_301889,Mansonnien,3645,27f,5,0,2,0,0,0.0,0.0,-5.0
dsi_301889,Mansonnien,3645,34.5f,5,0,0,0,1,0.0,0.0,-5.0
dsi_301889,Mansonnien,3645,9f,4,0,0,2,0,0.0,0.0,-4.0
dsi_301889,Mansonnien,3645,29f,4,1,0,1,0,2.46,0.25,3.0
dsi_301889,Mansonnien,3645,28.5f,3,0,0,0,1,0.0,0.0,-3.0
dsi_301889,Mansonnien,3645,13f,3,0,0,1,0,0.0,0.0,-3.0
dsi_301889,Mansonnien,3645,29.5f,2,0,0,0,1,0.0,0.0,-2.0
dsi_301889,Mansonnien,3645,14.5f,2,0,0,0,0,0.0,0.0,-2.0
dsi_301889,Mansonnien,3645,28f,2,0,0,0,1,0.0,0.0,-2.0
dsi_301889,Mansonnien,3645,7.5f,2,0,0,0,0,0.0,0.0,-2.0
dsi_301889,Mansonnien,3645,32f,1,0,0,0,0,0.0,0.0,-1.0
dsi_301889,Mansonnien,3645,32.5f,1,0,0,0,0,0.0,0.0,-1.0
dsi_301889,Mansonnien,3645,11.5f,1,0,1,0,0,0.0,0.0,-1.0
dsi_301889,Mansonnien,3645,7f,1,0,0,0,0,0.0,0.0,-1.0
dsi_301889,Mansonnien,3645,33f,1,0,0,1,0,0.0,0.0,-1.0
dsi_301889,Mansonnien,3645,33.5f,1,0,0,0,0,0.0,0.0,-1.0
dsi_3135986,Among Men,382,6f,62,4,4,3,6,0.55,0.06,-29.17
dsi_3135986,Among Men,382,16f,60,7,7,5,7,1.06,0.12,-31.83
dsi_3135986,Among Men,382,7f,45,2,2,4,3,0.57,0.04,-16.5
dsi_3135986,Among Men,382,8f,29,1,1,2,1,0.37,0.03,-14.0
dsi_3135986,Among Men,382,20f,27,0,1,2,3,0.0,0.0,-27.0
dsi_3135986,Among Men,382,5f,25,1,0,7,1,0.31,0.04,-14.0
dsi_3135986,Among Men,382,15.5f,11,1,1,2,1,1.06,0.09,4.0
dsi_3135986,Among Men,382,16.5f,10,1,2,0,0,0.64,0.1,-8.33
dsi_3135986,Among Men,382,17f,10,1,1,0,1,0.91,0.1,-3.5
dsi_3135986,Among Men,382,24f,10,0,0,3,1,0.0,0.0,-10.0
dsi_3135986,Among Men,382,6.5f,9,0,2,2,0,0.0,0.0,-9.0
dsi_3135986,Among Men,382,12f,9,0,1,1,2,0.0,0.0,-9.0
dsi_3135986,Among Men,382,21.5f,7,0,0,1,2,0.0,0.0,-7.0
dsi_3135986,Among Men,382,8.5f,6,0,0,0,0,0.0,0.0,-6.0
dsi_3135986,Among Men,382,18f,6,0,0,1,1,0.0,0.0,-6.0
dsi_3135986,Among Men,382,18.5f,6,1,2,0,0,1.17,0.17,-2.0
dsi_3135986,Among Men,382,10f,5,0,0,0,0,0.0,0.0,-5.0
dsi_3135986,Among Men,382,14f,5,0,0,0,0,0.0,0.0,-5.0
dsi_3135986,Among Men,382,19.5f,5,2,1,0,1,3.26,0.4,4.25
dsi_3135986,Among Men,382,7.5f,4,0,0,0,0,0.0,0.0,-4.0
dsi_3135986,Among Men,382,20.5f,4,0,0,0,1,0.0,0.0,-4.0
dsi_3135986,Among Men,382,10.5f,4,0,0,0,0,0.0,0.0,-4.0
dsi_3135986,Among Men,382,9.5f,3,0,0,0,1,0.0,0.0,-3.0
dsi_3135986,Among Men,382,27f,2,1,1,0,0,2.12,0.5,2.5
dsi_3135986,Among Men,382,17.5f,2,0,0,0,0,0.0,0.0,-2.0
dsi_3135986,Among Men,382,11.5f,2,0,0,0,0,0.0,0.0,-2.0
dsi_3135986,Among Men,382,26f,2,0,0,1,0,0.0,0.0,-2.0
dsi_3135986,Among Men,382,9f,2,0,0,0,0,0.0,0.0,-2.0
dsi_3135986,Among Men,382,25.5f,1,0,0,1,0,0.0,0.0,-1.0
dsi_3135986,Among Men,382,23f,1,0,0,1,0,0.0,0.0,-1.0
dsi_3135986,Among Men,382,11f,1,0,0,0,0,0.0,0.0,-1.0
dsi_3135986,Among Men,382,25f,1,0,0,0,0,0.0,0.0,-1.0
dsi_3135986,Among Men,382,12.5f,1,0,0,0,0,0.0,0.0,-1.0
dsi_3135986,Among Men,382,22f,1,0,0,0,0,0.0,0.0,-1.0
dsi_3135986,Among Men,382,27.5f,1,0,0,0,0,0.0,0.0,-1.0
dsi_3135986,Among Men,382,22.5f,1,0,0,0,0,0.0,0.0,-1.0
dsi_3135986,Among Men,382,23.5f,1,0,0,0,0,0.0,0.0,-1.0
dsi_3135986,Among Men,382,15f,1,0,0,0,0,0.0,0.0,-1.0
dsi_3659551,Golan,1406,16f,183,17,16,19,12,0.93,0.09,-73.21
dsi_3659551,Golan,1406,7f,135,17,11,16,11,1.01,0.13,17.23
dsi_3659551,Golan,1406,8f,134,12,12,9,20,0.78,0.09,-34.22
dsi_3659551,Golan,1406,6f,114,10,11,10,9,0.74,0.09,-69.13
dsi_3659551,Golan,1406,12f,84,10,9,10,4,0.93,0.12,-19.06
dsi_3659551,Golan,1406,20f,77,7,8,9,7,0.71,0.09,-46.81
dsi_3659551,Golan,1406,10f,64,6,8,7,4,0.95,0.09,-34.2
dsi_3659551,Golan,1406,16.5f,62,4,5,5,7,0.57,0.06,-46.1
dsi_3659551,Golan,1406,24f,47,4,3,11,3,0.79,0.09,-30.5
dsi_3659551,Golan,1406,19.5f,38,2,4,2,3,0.44,0.05,-26.67
dsi_3659551,Golan,1406,8.5f,34,1,3,1,3,0.35,0.03,-26.0
dsi_3659551,Golan,1406,17f,33,5,4,1,3,1.11,0.15,2.67
dsi_3659551,Golan,1406,20.5f,30,4,5,5,1,1.09,0.13,39.3
dsi_3659551,Golan,1406,9.5f,27,1,1,0,3,0.5,0.04,-10.0
dsi_3659551,Golan,1406,21.5f,25,3,6,2,0,0.76,0.12,-8.59
dsi_3659551,Golan,1406,11f,23,3,2,3,1,1.14,0.13,-12.15
dsi_3659551,Golan,1406,19f,22,1,3,1,1,0.57,0.05,-11.0
dsi_3659551,Golan,1406,15.5f,22,0,2,5,0,0.0,0.0,-22.0
dsi_3659551,Golan,1406,23f,20,2,2,2,3,0.83,0.1,-14.75
dsi_3659551,Golan,1406,5f,20,0,0,1,2,0.0,0.0,-20.0
dsi_3659551,Golan,1406,24.5f,18,3,2,5,0,1.42,0.17,8.62
dsi_3659551,Golan,1406,14f,16,2,3,2,2,1.0,0.12,3.5
dsi_3659551,Golan,1406,23.5f,16,1,1,0,0,0.53,0.06,-12.25
dsi_3659551,Golan,1406,17.5f,16,0,0,1,1,0.0,0.0,-16.0
dsi_3659551,Golan,1406,21f,15,0,2,0,1,0.0,0.0,-15.0
dsi_3659551,Golan,1406,18f,15,3,1,2,0,2.44,0.2,9.25
dsi_3659551,Golan,1406,9f,14,0,3,0,1,0.0,0.0,-14.0
dsi_3659551,Golan,1406,18.5f,13,2,0,1,3,0.89,0.15,-7.83
dsi_3659551,Golan,1406,7.5f,10,0,2,1,1,0.0,0.0,-10.0
dsi_3659551,Golan,1406,12.5f,10,3,2,0,0,2.1,0.3,10.88
dsi_3659551,Golan,1406,22f,10,1,1,0,0,0.75,0.1,-2.0
dsi_3659551,Golan,1406,15f,8,1,1,3,0,0.48,0.12,-6.47
dsi_3659551,Golan,1406,10.5f,7,0,1,0,1,0.0,0.0,-7.0
dsi_3659551,Golan,1406,22.5f,6,1,0,0,0,2.56,0.17,2.0
dsi_3659551,Golan,1406,13f,6,1,1,0,0,1.22,0.17,-1.4
dsi_3659551,Golan,1406,25.5f,6,2,0,1,1,2.52,0.33,24.0
dsi_3659551,Golan,1406,26f,5,1,1,0,0,0.96,0.2,-3.0
dsi_3659551,Golan,1406,11.5f,5,1,0,0,2,1.68,0.2,2.5
dsi_3659551,Golan,1406,5.5f,4,0,0,0,1,0.0,0.0,-4.0
dsi_3659551,Golan,1406,6.5f,4,0,0,0,1,0.0,0.0,-4.0
dsi_3659551,Golan,1406,14.5f,3,1,0,0,1,2.96,0.33,4.0
dsi_3659551,Golan,1406,13.5f,3,1,0,0,0,2.29,0.33,17.0
dsi_3659551,Golan,1406,25f,1,0,1,0,0,0.0,0.0,-1.0
dsi_3659551,Golan,1406,26.5f,1,0,0,0,0,0.0,0.0,-1.0
dsi_3384073,Robin Des Pres,424,16f,78,0,9,8,10,0.0,0.0,-78.0
dsi_3384073,Robin Des Pres,424,20f,38,1,6,3,5,0.32,0.03,-26.0
dsi_3384073,Robin Des Pres,424,16.5f,33,2,4,3,2,0.65,0.06,57.0
dsi_3384073,Robin Des Pres,424,19f,27,1,3,1,1,0.47,0.04,-24.3
dsi_3384073,Robin Des Pres,424,17f,26,2,6,3,0,0.55,0.08,-21.13
dsi_3384073,Robin Des Pres,424,19.5f,23,3,0,1,4,1.15,0.13,2.17
dsi_3384073,Robin Des Pres,424,22f,20,2,3,3,2,1.1,0.1,-2.6
dsi_3384073,Robin Des Pres,424,24f,19,1,0,5,0,0.63,0.05,7.0
dsi_3384073,Robin Des Pres,424,17.5f,18,0,1,0,3,0.0,0.0,-18.0
dsi_3384073,Robin Des Pres,424,23.5f,18,2,1,0,2,1.48,0.11,0.3
dsi_3384073,Robin Des Pres,424,18f,17,0,2,1,0,0.0,0.0,-17.0
dsi_3384073,Robin Des Pres,424,21f,16,4,1,1,2,1.9,0.25,1.5
dsi_3384073,Robin Des Pres,424,20.5f,14,0,2,2,1,0.0,0.0,-14.0
dsi_3384073,Robin Des Pres,424,21.5f,13,1,1,1,2,0.8,0.08,-8.67
dsi_3384073,Robin Des Pres,424,15.5f,12,1,1,1,2,0.71,0.08,5.0
dsi_3384073,Robin Des Pres,424,24.5f,11,3,0,2,1,3.08,0.27,16.5
dsi_3384073,Robin Des Pres,424,23f,8,1,0,0,0,1.57,0.12,-2.5
dsi_3384073,Robin Des Pres,424,15f,7,1,0,0,1,2.05,0.14,-1.5
dsi_3384073,Robin Des Pres,424,25f,5,1,0,1,0,2.04,0.2,-1.5
dsi_3384073,Robin Des Pres,424,12f,4,1,1,0,1,1.79,0.25,5.8
dsi_3384073,Robin Des Pres,424,18.5f,4,0,0,0,1,0.0,0.0,-4.0
dsi_3384073,Robin Des Pres,424,26f,3,0,0,0,0,0.0,0.0,-3.0
dsi_3384073,Robin Des Pres,424,11f,2,0,0,0,0,0.0,0.0,-2.0
dsi_3384073,Robin Des Pres,424,25.5f,2,0,0,0,0,0.0,0.0,-2.0
dsi_3384073,Robin Des Pres,424,22.5f,2,0,0,0,1,0.0,0.0,-2.0
dsi_3384073,Robin Des Pres,424,13.5f,1,0,0,0,0,0.0,0.0,-1.0
dsi_3384073,Robin Des Pres,424,26.5f,1,0,0,0,0,0.0,0.0,-1.0
dsi_3384073,Robin Des Pres,424,10f,1,1,0,0,0,3.6,1.0,2.6
dsi_3384073,Robin Des Pres,424,14f,1,0,0,0,0,0.0,0.0,-1.0
dsi_3852772,Black Sam Bellamy,714,16f,93,7,13,13,10,0.59,0.08,-55.33
dsi_3852772,Black Sam Bellamy,714,8f,80,6,7,7,7,0.7,0.07,-50.27
dsi_3852772,Black Sam Bellamy,714,9.5f,61,3,6,7,0,0.5,0.05,-31.7
dsi_3852772,Black Sam Bellamy,714,7f,48,8,4,5,2,1.54,0.17,40.41
dsi_3852772,Black Sam Bellamy,714,10f,47,4,1,8,6,0.74,0.09,-24.55
dsi_3852772,Black Sam Bellamy,714,12f,43,4,3,5,5,0.81,0.09,-22.0
dsi_3852772,Black Sam Bellamy,714,10.5f,42,5,3,4,3,0.96,0.12,-2.2
dsi_3852772,Black Sam Bellamy,714,20f,35,6,3,2,4,1.2,0.17,9.05
dsi_3852772,Black Sam Bellamy,714,16.5f,27,3,1,0,6,1.7,0.11,-6.5
dsi_3852772,Black Sam Bellamy,714,19.5f,19,0,2,6,3,0.0,0.0,-19.0
dsi_3852772,Black Sam Bellamy,714,17f,17,1,3,2,4,0.4,0.06,-15.09
dsi_3852772,Black Sam Bellamy,714,6f,17,2,0,2,1,1.12,0.12,-12.71
dsi_3852772,Black Sam Bellamy,714,20.5f,17,3,0,3,4,1.08,0.18,-7.5
dsi_3852772,Black Sam Bellamy,714,8.5f,15,5,1,3,0,1.42,0.33,9.4
dsi_3852772,Black Sam Bellamy,714,9f,13,2,0,1,1,1.17,0.15,-6.3
dsi_3852772,Black Sam Bellamy,714,15f,11,0,1,2,3,0.0,0.0,-11.0
dsi_3852772,Black Sam Bellamy,714,21f,11,3,1,2,2,1.83,0.27,2.75
